"sbj_ID","strategy"
"5aa787c66219a30001c765f8","my memory "
"5ae5db897edeb000014a85ee","Just tried to use my intuition with regards to the shape of the whole word, but still had some dificulty thinking on whether the shape resembled something like what I've seen before"
"5b212164cfbf200001cfb3ad","looking at the first character"
"5b213220809d160001a2c36d","None"
"5bcd11401662020001fe82c1","tried to remember as hard as i can"
"5c19254b0b9f6b00014769ee","pattern recognition"
"5c1bfabab0fcc900019d9ff4","visual memory"
"5caccaed2f93d700157b4782","I tried to remember symbols that were shown together"
"5cbe02ab39447e0001745a5e","punction, symbols"
"5cefe8856e0eec00015971dd","One thing I noticed was repeating symbols in a row were very rare in the first group words."
"5d9a125f1714540016a40a27","I tried to recall which symbols I saw in the first places of the words."
"5dab6e7d80e1780016d5bc9b","i recognized some word that looked similar to our alphabet and when put together they seemed like words"
"5dcb33ab0550ef819f508abf","none i remember a few words"
"5e12048c7605fe8839180a14","Just tried to remember all the stuff that I saw"
"5e283f8ad48ecf000ddd0724","Some characters were similar"
"5e2c6968e97bec29709a53c6","similar shapes of first few letters"
"5e3ff59bf2160b23942ada93","trying to remember what I saw"
"5e42b6421f44d3143440b25c","After the first half, I tought that actually they were all from the previous example, so after the first half I selected k for almost everything"
"5e42f03607b468000d8eb912","I felt like most of the previous group words were shorter compared to some shown now"
"5e433ed3393e971e19f4735d","Looking at the first characters, i tried to remember each word"
"5e577e79ce30ae13226e61ae","Looking at the beginning and ending few characters, but dang, was it hard"
"5e6d3324f14d262fced5bbfe","Mainly trying to identify the first or last 2 letters of the word and trying to remember if I saw them previously."
"5e87b28549538b0fdf96b318","Some characters didn't seem to be shown previosly, so when those ones were shown I figured they didn't belong to what was sent from the first group of aliens."
"5e89e89bf025be000c01eead","Just my intuition"
"5e8c57d9b4483e012006e7aa","I tried to recognize same the first letters that were used in the examples"
"5e8e55509422bb10abed1f54","All intuition. Since I spent so much time looking at the symbols (and some of them repeated a lot), I just answered following my instinct hoping that, even if they all look the same to me, maybe to some part of my subconscience that information was saved (at least in the short timespan the experiment takes place in)"
"5e9bd025eb6b380e1d66d04c","Memory"
"5ea171c1a8782801263e7540","I focused on the last character of the ""word"""
"5ea9611edec14d052ada0bae","not something in particular just whatever i remembered"
