language,family,branch,count
Polish,Indo-European,Balto-Slavic,32
Spanish,Indo-European,Italic,30
Greek,Indo-European,Greek,3
Portuguese,Indo-European,Italic,17
Latvian,Indo-European,Balto-Slavic,2
Italian,Indo-European,Italic,11
German,Indo-European,Germanic,30
Zulu,Niger-Congo,Atlantic-Congo,23
Mandarin,Sino-Tibetan,Chinese,5
Dutch,Indo-European,Germanic,8
Southern_Sotho,Niger-Congo,Atlantic-Congo,6
Hungarian,Uralic,Hungarian,9
Xhosa,Niger-Congo,Atlantic-Congo,8
Venda,Niger-Congo,Atlantic-Congo,6
Czech,Indo-European,Balto-Slavic,3
Birwa,Niger-Congo,Atlantic-Congo,4
Filipino,Austronesian,Malayo-Polynesian,1
Slovene,Indo-European,Balto-Slavic,0
Arabic,Afro-Asiatic,Semitic,4
French,Indo-European,Italic,16
Turkish,Turkic,Southern_,2
Romanian,Indo-European,Italic,1
Croatian,Indo-European,Balto-Slavic,5
Cebuano,Austronesian,Malayo-Polynesian,1
Russian,Indo-European,Balto-Slavic,8
Slovak,Indo-European,Balto-Slavic,1
Gujarati,Indo-European,Indo-Iranian,1
Urdu,Indo-European,Indo-Iranian,3
Yue_Chinese,Sino-Tibetan,Chinese,1
Afrikaans,Indo-European,Germanic,12
Lithuanian,Indo-European,Balto-Slavic,1
Ukrainian,Indo-European,Balto-Slavic,2
Setswana,Niger-Congo,Atlantic-Congo,5
Shona,Niger-Congo,Atlantic-Congo,2
Bulgarian,Indo-European,Balto-Slavic,1
Punjabi,Indo-European,Indo-Iranian,1
Vietnamese,Austro-Asiatic,Mon-Khmer,1
Hindi,Indo-European,Indo-Iranian,1
Swahili,Niger-Congo,Atlantic-Congo,1
Swati,Niger-Congo,Atlantic-Congo,1
Thai,Kra-Dai,Kam-Tai,1
Catalan,Indo-European,Italic,1
Malayalam,Dravidian,Southern,1
Welsh,Indo-European,Celtic,1
Northern_Sotho,Niger-Congo,Atlantic-Congo,7
Serbian,Indo-European,Balto-Slavic,1
Japanese,Japonic,Japanese,3
Ndebele,Niger-Congo,Atlantic-Congo,1
Tagalog,Austronesian,Malayo-Polynesian,1
Icelandic,Indo-European,Germanic,1
Tsonga,Niger-Congo,Atlantic-Congo,1
Dawida,Niger-Congo,Atlantic-Congo,1
Norwegian,Indo-European,Germanic,1
Bosnian,Indo-European,Balto-Slavic,1
