"sbj_ID","UseL1Score","UseL2Score","UseL3Score","UseL4Score"
"579e18fc4a84da00014c6f4f",54.5,0,0,0
"5b6aa4aa0d748b0001fb5260",49.05,5.45,0,0
"5c1a6bd8f9250d0001b7c589",54.5,0,0,0
"5c437f6a4fe4f800016e3d52",51.23,3.27,0,0
"5c840aedbad8fb000106cb44",53.41,1.09,10.9,0
"5d696d1c55742f001af29220",54.5,0,0,0
"5db16ce33990ed0014564873",54.5,0,0,0
"5e248b6f0c0b31718a9d3f31",50.14,4.36,0,0
"5e2b03f0005f2a02c5a64f7b",46.87,6.54,11.99,0
"5e6449ae5932461d728d2152",54.5,0,0,0
"5e8b85a61e16e9057a996e36",50.14,4.36,0,0
"5e9dad3fd8d8010ac6a18620",35.97,17.44,11.99,0
"5ebd8f8679146d0a116bc257",51.23,3.27,7.63,0
"5ecba4b6ef75d53505406d57",52.32,2.18,10.9,0
"5ed14691e983f5067842fd20",29.43,23.98,11.99,0
"5eee55e93867d30a7771e616",54.5,0,0,0
"5ef0b54037a90c618ad9e97f",45.78,7.63,11.99,0
"5eff8b9ad19111064484eff7",35.97,18.53,9.81,0
"5f1165307d03fb0009716b8e",52.32,2.18,0,0
"5f21c29511084913913af654",51.23,3.27,10.9,0
"5f316280965ec564c886f978",47.96,6.54,10.9,0
"5f35782429beab53ef93cc2d",30.52,23.98,0,0
"5f3d119b77d8ba0009a79558",47.96,6.54,0,0
"5f5a5d4618746310515e2828",54.5,0,10.9,0
"5f6f3d061214fe49ec2b9619",41.42,13.08,0,0
"5f8af153e27f001bcc23ffc4",52.32,2.18,10.9,0
"5f8b724dc36e8c2ac6d5fb6e",31.61,22.89,0,0
"5f9c2359530d3e067a300bd6",46.87,6.54,11.99,0
"5fade36bdde8092117469a42",47.96,5.45,10.9,0
"5fb2946df797088a8c405c2e",37.06,11.99,9.81,5.45
"5ff3a2554cfb7d507511d89f",54.5,0,0,0
"5ffab69a57132749844b8020",46.87,7.63,9.81,0
"5ffd4230d96f6b2649d31f72",22.89,31.61,0,0
"60204c263941fb63d9d794bc",40.33,13.08,10.9,0
"602d2adcef81ce6b843da09b",54.5,0,0,0
"60379326171365000ac6ae93",50.14,4.36,10.9,0
"6046435099c3d00becdb2dfb",54.5,0,0,0
"604d5e61486bd0622d2102c0",54.5,0,0,0
"6057a8fe2d302939fc759940",33.79,20.71,9.81,0
"60907b8091341e8724ba80ed",38.15,16.35,10.9,0
"60a18093c5c040498d3addf8",41.42,13.08,10.9,0
"60a8bd22d03adbe92cbb9a5e",46.87,7.63,0,0
"60bf28df4926a8b6391df575",18.53,35.97,0,0
"60c4a402716a8f9074fcd92e",51.23,3.27,10.9,0
"60c715c89bb47f3847a690f0",25.07,29.43,0,0
"60c873a65a9883b52f70db6c",52.32,2.18,0,0
"60ca0b60979a23c83652c303",39.24,15.26,0,0
"60cef349a1fff159b5d4853e",22.89,28.34,8.72,1.09
"60d26e7cd9f0761e4d12b9f8",50.14,4.36,0,0
"60d9dfd4dcc09cf57dc92cb1",54.5,0,0,0
"60db9c9850c39eea109ef1d3",22.89,28.34,11.99,0
"60e586145b73b702a608bace",21.8,29.43,7.63,0
"60e5ac4f3d93f294f5fa543b",54.5,0,0,0
"60f9739250a5c6f6e4726336",43.6,9.81,11.99,0
"6102ee48644f517877d64d2b",26.16,22.89,6.54,0
"6103cbc5310ffddfafa01661",17.44,22.89,9.81,7.63
"6106ac34408681f3b0d07396",38.15,16.35,10.9,0
"610d45e26c9b141264755d3c",25.07,29.43,0,0
"61118c6d3c980e8b5b50e2fa",40.33,11.99,11.99,0
"6117bb7900c0ba81f079a4ee",47.96,4.36,7.63,1.09
"611d180283c1129def9284e6",20.71,33.79,0,0
"611e00dc377e4fb7a27725e8",25.07,29.43,0,0
"611e125063d1a52330225838",41.42,13.08,0,0
"611fd297eb06449f7f0a06b9",52.32,2.18,0,0
"61200d0d71bd5c0f9f9716b2",51.23,3.27,10.9,0
"61242dd5be1a06b174975a1f",31.61,15.26,9.81,5.45
"61248a51eefb6797024ecb85",11.99,37.06,10.9,0
"612cc44439ccefbbd5d4b278",39.24,7.63,15.26,0
"612cd9f34adcee82f65685a1",53.41,1.09,0,0
"613054cf8dffc8bbb1fc9cc4",39.24,8.72,9.81,2.18
"6134d182408816f4c1284496",15.26,32.7,10.9,4.36
"6135f6887f5dd1472f7d3d6e",50.14,4.36,0,0
"6136a1e1159dc808ad660d89",40.33,14.17,0,0
"613758e7a80409ba7f5affb6",22.89,14.17,11.99,9.81
"613ca0a2040055a4e87c5d71",21.8,30.52,9.81,0
"6148b49d6ac652cefd310332",54.5,0,0,0
"615c1372e7e639775817487e",40.33,14.17,2.18,0
"615c47639c04e360b0a76f58",54.5,0,0,0
"6166ef334de9e433e83bfb79",17.44,37.06,5.45,0
"616ad7ac6299f99ce33cdc78",49.05,3.27,11.99,0
"616b567b3e605b7245a9aead",27.25,27.25,2.18,0
