,sbj_ID,Age,Gender,Education,L1,L2,L3,L4,otherLs,task,AoAL1,AoAL2,AoAL3,AoAL4,AoAgioL1,AoAgioL2,AoAgioL3,AoAgioL4,anniInstrL1,anniInstrL2,anniInstrL3,anniInstrL4,anniPaeseL1,anniPaeseL2,anniPaeseL3,anniPaeseL4,anniFamigliaL1,anniFamigliaL2,anniFamigliaL3,anniFamigliaL4,anniLavoroL1,anniLavoroL2,anniLavoroL3,anniLavoroL4,PercAmiciL1,PercAmiciL2,PercAmiciL3,PercAmiciL4,PercFamigliaL1,PercFamigliaL2,PercFamigliaL3,PercFamigliaL4,PercLavoroL1,PercLavoroL2,PercLavoroL3,PercLavoroL4,PercStessoL1,PercStessoL2,PercStessoL3,PercStessoL4,PercCalcoliL1,PercCalcoliL2,PercCalcoliL3,PercCalcoliL4,ProfParlaL1,ProfParlaL2,ProfParlaL3,ProfParlaL4,ProfCapisceL1,ProfCapisceL2,ProfCapisceL3,ProfCapisceL4,ProfLeggeL1,ProfLeggeL2,ProfLeggeL3,ProfLeggeL4,AttentionL1,AttentionL2,AttentionL3,AttentionL4,ProfScriveL1,ProfScriveL2,ProfScriveL3,ProfScriveL4,AttMiStessoL1,AttMiStessoL2,AttMiStessoL3,AttMiStessoL4,AttCulturaL1,AttCulturaL2,AttCulturaL3,AttCulturaL4,AttLivNativoL1,AttLivNativoL2,AttLivNativoL3,AttLivNativoL4,AttMadrelinguaL1,AttMadrelinguaL2,AttMadrelinguaL3,AttMadrelinguaL4,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score,AoEaseL1,AoEaseL2,yearsEduL1,yearsEduL2,yearsCountryL1,yearsCountryL2,yearsFamilyL1,yearsFamilyL2,yearsWorkL1,yearsWorkL2,PercFriendsL1,PercFriendsL2,PercFamilyL1,PercFamilyL2,PercWorkL1,PercWorkL2,PercSelfL1,PercSelfL2,PercCountL1,PercCountL2,ProfSpeakL1,ProfSpeakL2,ProfUnderstandL1,ProfUnderstandL2,ProfReadL1,ProfReadL2,ProfWriteL1,ProfWriteL2,AttSelfL1,AttSelfL2,AttCultureL1,AttCultureL2,AttNativeLevelL1,AttNativeLevelL2,AttMothertongueL1,AttMothertongueL2,AoEaseL3,AoEaseL4,yearsEduL3,yearsEduL4,yearsCountryL3,yearsCountryL4,yearsFamilyL3,yearsFamilyL4,yearsWorkL3,yearsWorkL4,PercFriendsL3,PercFriendsL4,PercFamilyL3,PercFamilyL4,PercWorkL3,PercWorkL4,PercSelfL3,PercSelfL4,PercCountL3,PercCountL4,ProfSpeakL3,ProfSpeakL4,ProfUnderstandL3,ProfUnderstandL4,ProfReadL3,ProfReadL4,ProfWriteL3,ProfWriteL4,AttSelfL3,AttSelfL4,AttCultureL3,AttCultureL4,AttNativeLevelL3,AttNativeLevelL4,AttMothertongueL3,AttMothertongueL4
0,58f50400f4ce600001016db5,25,Man,College,Portuguese,English,n/a,n/a,no.,BLP,20,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,52.664,14.528,0.0,0.0,51.230000000000004,3.2700000000000005,0.0,0.0,54.480000000000004,49.94,0.0,0.0,52.21,54.480000000000004,0.0,0.0,210.58400000000003,122.218,0.0,0.0,20.0,7.0,16.0,9.0,20.0,0.0,20.0,0.0,20.0,1.0,9.0,1.0,10.0,0.0,8.0,2.0,10.0,0.0,10.0,0.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59aaf4b1321f870001d16f6c,23,Uomo,Uni,italiano,inglese,francese,russo,no,BLP,20,10.0,8.0,4.0,20.0,5.0,3.0,1.0,14.0,10.0,7.0,3.0,20.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,6.0,6.0,4.0,1.0,6.0,6.0,5.0,2.0,true,true,true,true,6.0,6.0,4.0,1.0,6.0,4.0,1.0,0.0,6.0,2.0,2.0,0.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,3.0,51.756,11.35,9.08,3.632,54.50000000000001,0.0,0.0,0.0,54.480000000000004,54.480000000000004,36.32,9.08,54.480000000000004,40.86,34.05,15.89,215.216,106.69,79.44999999999999,28.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5aa787c66219a30001c765f8,female,Woman,College,polish,english,n/a,n/a,no,BLP,20,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,47.67,10.442,0.0,0.0,44.690000000000005,9.81,0.0,0.0,54.480000000000004,40.86,0.0,0.0,24.97,34.05,0.0,0.0,171.81000000000003,95.162,0.0,0.0,20.0,0.0,20.0,12.0,20.0,2.0,20.0,0.0,5.0,1.0,8.0,2.0,10.0,0.0,7.0,3.0,6.0,4.0,10.0,0.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,3.0,6.0,5.0,2.0,4.0,3.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5ae5db897edeb000014a85ee,24,Woman,Masters,portuguese,english,n/a,n/a,no,BLP,20,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,42.676,9.988,0.0,0.0,39.24,15.260000000000002,0.0,0.0,54.480000000000004,49.94,0.0,0.0,54.480000000000004,36.32,0.0,0.0,190.87600000000003,111.50800000000001,0.0,0.0,20.0,6.0,12.0,6.0,20.0,0.0,20.0,0.0,2.0,1.0,9.0,1.0,10.0,0.0,0.0,10.0,8.0,2.0,9.0,1.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,6.0,5.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5b212164cfbf200001cfb3ad,25,Man,College,Portugal,English,n/a,n/a,n/a,BLP,20,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,50.848,15.89,0.0,0.0,44.690000000000005,9.81,0.0,0.0,54.480000000000004,52.21,0.0,0.0,49.94,54.480000000000004,0.0,0.0,199.95800000000003,132.39,0.0,0.0,20.0,8.0,12.0,10.0,20.0,0.0,20.0,0.0,20.0,1.0,9.0,1.0,10.0,0.0,7.0,3.0,7.0,3.0,8.0,2.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5b213220809d160001a2c36d,24,Other,MinusCollege,Italian,English,French,Spanish,No,BLP,20,14.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,true,true,,,,,,,,,,,,,,,,,,,,,42.222,19.976,9.534,6.8100000000000005,47.96,6.540000000000001,10.9,0.0,54.480000000000004,52.21,31.78,31.78,27.240000000000002,40.86,13.620000000000001,13.620000000000001,171.90200000000002,119.586,65.834,52.21000000000001,20.0,14.0,13.0,16.0,20.0,0.0,20.0,0.0,0.0,0.0,8.0,2.0,10.0,0.0,7.0,3.0,9.0,1.0,10.0,0.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,3.0,3.0,3.0,6.0,3.0,3.0,4.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
0,5b715800b31d480001eda165,25,Man,HighSchool,Italian,English,n/a,n/a,n/a,BLP,20,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,49.032000000000004,14.074,0.0,0.0,46.870000000000005,7.630000000000001,0.0,0.0,54.480000000000004,43.13,0.0,0.0,52.21,34.05,0.0,0.0,202.592,98.884,0.0,0.0,14.0,4.0,14.0,15.0,20.0,0.0,20.0,0.0,20.0,0.0,9.0,1.0,10.0,0.0,10.0,0.0,4.0,6.0,10.0,0.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,6.0,5.0,2.0,6.0,4.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5bcd11401662020001fe82c1,25,Woman,MinusCollege,Italian,English,n/a,n/a,no,BLP,20,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,42.222,15.436,0.0,0.0,44.690000000000005,9.81,0.0,0.0,54.480000000000004,49.94,0.0,0.0,54.480000000000004,38.59,0.0,0.0,195.872,113.77600000000001,0.0,0.0,20.0,6.0,13.0,16.0,20.0,0.0,20.0,0.0,0.0,0.0,8.0,2.0,10.0,0.0,6.0,4.0,8.0,2.0,9.0,1.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,3.0,6.0,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5be84b9a40b06b0001370c9f,24,Woman,Masters,Spanish,English,N/A,N/A,"French, German",BLP,20,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,38.59,23.154,0.0,0.0,39.24,15.260000000000002,0.0,0.0,54.480000000000004,47.67,0.0,0.0,54.480000000000004,45.4,0.0,0.0,186.79000000000002,131.484,0.0,0.0,20.0,13.0,0.0,20.0,20.0,1.0,20.0,0.0,5.0,1.0,9.0,1.0,9.0,1.0,1.0,9.0,7.0,3.0,10.0,0.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5c19254b0b9f6b00014769ee,22,Man,PlusCollege,Portuguese,English,n/a,n/a,n/a,BLP,20,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,42.222,28.148,0.0,0.0,45.78,8.72,0.0,0.0,54.480000000000004,52.21,0.0,0.0,54.480000000000004,34.05,0.0,0.0,196.96200000000005,123.128,0.0,0.0,20.0,12.0,12.0,12.0,20.0,0.0,20.0,20.0,1.0,1.0,9.0,1.0,8.0,2.0,10.0,0.0,5.0,5.0,10.0,0.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
