trial,word,condition,response,RT
1,bNdmGRCdc,1,no,72.19
2,Ctmbravu,1,yes,10.11
3,aOLZUYTOM,1,no,10.4
4,dMThkrNlZ,1,yes,4.57
5,LuaUYbN,0,no,11.74
6,TKDkdTAh,0,yes,12.76
7,YJkbravu,0,no,0.68
8,PctRCOPE,0,yes,11.94
9,aONdDOk,1,no,1.38
10,LdQvZckv,0,no,14.59
11,RKYkYbN,1,yes,11.24
12,dClOCcrdY,1,no,10.06
13,CtmbYTOM,0,yes,6.0
14,dkLlrNlZ,0,yes,14.08
15,lAOKMDOk,0,no,1.2
16,OMlTRCdc,0,yes,13.24
17,bcbMYTOM,0,yes,11.33
18,aONdcrdY,0,yes,15.11
19,dkLlOPE,1,yes,10.61
20,GLluAdTAh,1,yes,12.66
21,dClOCDOk,0,yes,11.5
22,bcbMravu,1,no,2.39
23,dMThkOPE,0,no,46.91
24,TKDkYbN,1,yes,18.38
25,tmYhRCdc,0,no,3.68
26,RKYkdTAh,0,yes,9.4
27,GLluAYbN,0,no,14.15
28,tmYhZckv,1,yes,0.31
29,lAOKMcrdY,1,yes,14.79
30,aOLZUravu,0,no,6.11
31,PctRCrNlZ,1,yes,7.31
32,bNdmGZckv,0,no,11.56
33,LuaUdTAh,1,yes,2.0
34,GumLlcrdY,0,yes,14.39
35,bdUNuOPE,1,yes,14.79
36,YJkbYTOM,1,no,2.49
37,OMlTZckv,1,yes,22.25
38,LdQvRCdc,1,no,13.72
39,bdUNurNlZ,0,yes,5.89
40,GumLlDOk,1,no,15.36
