sbjID,trialn,word,condition,response,RT
9,1,AmaclYkZ,0,no,53.5
9,2,JZOAkuvJ,0,yes,4.92
9,3,bNdmGEPBT,1,no,10.28
9,4,CmcOmkc,1,yes,0.94
9,5,dNZAKOYC,1,yes,12.43
9,6,AdDbuvJ,1,no,2.15
9,7,ZNLOvYZUZ,0,yes,9.32
9,8,bcbMKOYC,0,no,6.28
9,9,cuOJbmkc,0,yes,4.6
9,10,GLYrAZAUu,0,yes,9.67
9,11,kabJbYkZ,0,no,16.8
9,12,YKRkYZUZ,1,yes,8.83
9,13,DMRPmkc,1,no,6.78
9,14,AmaclcthB,1,no,13.87
9,15,cuOJbYbBT,1,yes,12.42
9,16,AZlLNmkc,0,no,5.84
9,17,bNdmGZAUu,0,yes,1.79
9,18,YQbcuvJ,0,no,6.56
9,19,GLYrAEPBT,1,yes,4.69
9,20,chAhZAUu,1,no,12.48
9,21,AZlLNYbBT,1,yes,1.73
9,22,PctRCKlkD,0,no,10.35
9,23,kMbTREPBT,0,no,17.04
9,24,dNZAYZUZ,0,yes,1.06
9,25,chAhEPBT,0,no,16.58
9,26,OmtlDYkZ,1,yes,0.68
9,27,tKDmhcthB,0,no,11.43
9,28,bcbMYZUZ,1,yes,13.63
9,29,CmcOYbBT,0,yes,12.34
9,30,YQbcKlkD,1,no,1.91
9,31,kMbTRZAUu,1,yes,9.63
9,32,YKRkKOYC,0,yes,12.78
9,33,AdDbKlkD,0,yes,11.99
9,34,DMRPYbBT,0,yes,10.79
9,35,kabJbcthB,1,no,3.42
9,36,PctRCuvJ,1,yes,12.44
9,37,tKDmhYkZ,1,no,11.94
9,38,OmtlDcthB,0,yes,0.7
9,39,ZNLOvKOYC,1,no,15.15
9,40,JZOAkKlkD,1,yes,3.89
