sbjID,trialn,word,confound,response,RT
100,1,NvYJ,GUOA,confound,156.21
100,2,GumLl,JdOAY,confound,105.73
100,3,Phktk,NaAQd,confound,198.63
100,4,Ddck,BYhT,exp_word,51.14
100,5,vYLU,UmNJ,exp_word,70.31
100,6,DhMt,mKcD,exp_word,69.25
100,7,rAm,cUN,exp_word,43.37
100,8,PMPtk,CRdBd,exp_word,136.13
100,9,amJm,bmbN,exp_word,11.7
100,10,QvlZ,LGkA,exp_word,17.38
100,11,htmhC,aOLZU,confound,10.98
100,12,APEM,EMYK,exp_word,25.19
100,13,ZAUu,JcUk,confound,32.16
100,14,aYQm,lkAk,confound,27.05
100,15,hAROK,tKDmh,confound,39.32
100,16,QGb,YbN,confound,49.21
100,17,BCD,bRC,confound,66.46
100,18,dTAh,uOAO,exp_word,22.62
100,19,JvaA,lmbY,confound,14.13
100,20,OEPk,CYPc,exp_word,22.42
100,21,tRPD,JUNa,confound,23.69
100,22,Gabk,RdCc,exp_word,23.81
100,23,ECtbD,Blmcl,confound,27.77
100,24,GQYQ,hbkd,confound,23.55
100,25,bROC,ukbY,exp_word,19.57
100,26,hBK,lvk,exp_word,15.35
100,27,PMd,DKP,exp_word,54.87
100,28,AlNU,dmRb,confound,50.21
100,29,uauO,CmcO,exp_word,25.2
100,30,mdla,KEdl,exp_word,21.49
