sbjID,trialn,word,condition,response,RT
100,1,PctRCLcO,1,no,91.0
100,2,dOYmldYAJ,1,yes,16.01
100,3,auYAkDOk,1,yes,11.13
100,4,YadrPED,1,no,12.16
100,5,htmhCLcO,1,yes,8.55
100,6,LNUrJdYAJ,0,no,10.58
100,7,rbYbuRdCc,1,yes,10.12
100,8,YZJmPMd,1,no,11.77
100,9,lKdbcGUOA,1,no,8.03
100,10,hYDmtPMd,0,yes,0.87
100,11,YObADmh,0,no,8.4
100,12,adkrPMd,1,yes,0.79
100,13,ctktGUOA,1,no,6.7
100,14,PctRCRdCc,0,yes,2.96
100,15,dOYmlDOk,0,no,4.98
100,16,KBKBEPMd,0,yes,6.12
100,17,RYtkcDOk,0,no,3.07
100,18,JmvmOLcO,0,yes,6.05
100,19,hYDmtNac,1,no,4.63
100,20,AlQaQUZu,0,yes,5.58
100,21,lKdbcPED,0,no,1.36
100,22,QOLmuUZu,0,yes,9.87
100,23,RYtkcdYAJ,1,no,12.34
100,24,dClOCDmh,0,yes,0.88
100,25,NvYJPED,1,yes,36.07
100,26,QOLmuDmh,1,no,18.45
100,27,YZJmNac,0,no,25.02
100,28,LNUrJDOk,1,no,22.49
100,29,htmhCRdCc,0,no,45.8
100,30,YObAUZu,1,yes,29.31
100,31,auYAkdYAJ,0,yes,27.74
100,32,dClOCUZu,1,yes,22.0
100,33,rbYbuLcO,0,yes,32.07
100,34,AlQaQDmh,1,no,52.71
100,35,JmvmORdCc,1,no,27.64
100,36,KBKBENac,1,no,31.42
100,37,YadrGUOA,0,no,33.21
100,38,adkrNac,0,no,32.83
100,39,ctktPED,0,yes,33.53
100,40,NvYJGUOA,0,no,32.64
