sbjID,trialn,target,confound,target_side,response,RT
22,1,chAh,vclY,right,confound,4728.79
22,2,OJNk,Avdk,right,confound,2500.29
22,3,AOUl,rvUb,right,target,1727.37
22,4,YmBd,KMOc,right,target,1773.6
22,5,DcPTc,GJGcZ,right,confound,1214.18
22,6,PcBT,dEPD,right,target,2561.7
22,7,DlDd,TPCb,right,target,1360.13
22,8,Ldrbv,LvuOG,right,confound,1582.91
22,9,ABb,TAm,right,confound,3425.43
22,10,Zckv,NYZu,right,confound,1761.2
22,11,bRC,mZb,right,confound,2976.0
22,12,QcQAJ,kGamN,right,target,992.5
22,13,NvuGr,dMYBP,left,target,1393.57
22,14,Ehbt,AZbl,left,confound,1231.63
22,15,CkBOP,MBKRE,right,confound,2530.02
22,16,QvlZ,mrOd,right,target,1104.92
22,17,ArQu,YDTk,right,confound,1248.37
22,18,btlck,cRElD,right,confound,1408.14
22,19,alJY,lBlE,left,confound,1393.74
22,20,laYmr,mUOcO,left,confound,1169.85
22,21,KOYC,Abka,left,target,2162.26
22,22,NmAG,dCKc,right,target,1553.11
22,23,OMC,vcb,left,target,2560.77
22,24,ubALm,lYrua,right,confound,4033.36
22,25,aONd,kMEC,left,confound,3728.72
22,26,NaAQd,KBKBE,left,target,1458.13
22,27,UJkG,cYUv,right,target,1378.42
22,28,ctkt,COTK,right,target,1106.12
22,29,YKRk,JcUk,right,confound,6624.22
22,30,DbMR,mdkK,right,confound,6465.51
