sbjID,trialn,condition,response,expected,observed,RT
1,1,0,hit,0,0,715.16
1,2,0,hit,0,0,388.38
1,3,1,false_alarm,1,0,501.09
1,4,0,miss,0,1,558.89
1,5,1,correct_rejection,1,1,498.36
1,6,1,false_alarm,1,0,307.83
1,7,1,false_alarm,1,0,307.81
1,8,0,miss,0,1,344.69
1,9,0,hit,0,0,411.83
1,10,1,correct_rejection,1,1,171.48
1,11,0,miss,0,1,403.79
1,12,1,false_alarm,1,0,112.72
1,13,0,miss,0,1,397.4
1,14,0,miss,0,1,242.29
1,15,0,miss,0,1,274.12
1,16,0,miss,0,1,259.91
1,17,0,miss,0,1,607.13
1,18,1,false_alarm,1,0,147.88
1,19,0,hit,0,0,370.07
1,20,1,correct_rejection,1,1,429.49
1,21,1,correct_rejection,1,1,201.82
1,22,0,hit,0,0,200.6
1,23,0,hit,0,0,114.3
1,24,1,false_alarm,1,0,271.16
1,25,0,hit,0,0,303.12
1,26,1,false_alarm,1,0,307.88
1,27,0,miss,0,1,520.67
1,28,0,miss,0,1,346.35
1,29,0,hit,0,0,353.67
1,30,0,miss,0,1,531.71
1,31,1,false_alarm,1,0,431.07
1,32,1,correct_rejection,1,1,461.26
1,33,1,false_alarm,1,0,80.55
1,34,1,correct_rejection,1,1,427.83
1,35,1,false_alarm,1,0,264.75
1,36,1,correct_rejection,1,1,317.49
1,37,0,hit,0,0,529.93
1,38,1,false_alarm,1,0,106.29
1,39,1,correct_rejection,1,1,286.27
1,40,1,false_alarm,1,0,275.9
2,1,1,false_alarm,1,0,519.87
2,2,0,hit,0,0,810.71
2,3,0,hit,0,0,368.54
2,4,0,hit,0,0,512.19
2,5,1,false_alarm,1,0,677.29
2,6,1,correct_rejection,1,1,506.08
2,7,1,correct_rejection,1,1,493.5
2,8,1,false_alarm,1,0,118.85
2,9,1,false_alarm,1,0,525.42
2,10,1,correct_rejection,1,1,410.11
2,11,1,correct_rejection,1,1,478.97
2,12,1,false_alarm,1,0,160.56
2,13,0,hit,0,0,250.27
2,14,0,hit,0,0,216.66
2,15,1,false_alarm,1,0,1099.87
2,16,1,correct_rejection,1,1,266.29
2,17,0,hit,0,0,314.29
2,18,0,miss,0,1,629.53
2,19,0,miss,0,1,366.97
2,20,1,correct_rejection,1,1,296.74
2,21,0,hit,0,0,411.77
2,22,0,hit,0,0,909.49
2,23,1,false_alarm,1,0,432.7
2,24,1,correct_rejection,1,1,387.97
2,25,1,false_alarm,1,0,338.03
2,26,1,correct_rejection,1,1,194.32
2,27,0,hit,0,0,594.35
2,28,0,hit,0,0,397.51
2,29,1,false_alarm,1,0,354.33
2,30,0,miss,0,1,714.18
2,31,0,hit,0,0,192.65
2,32,1,correct_rejection,1,1,843.91
2,33,0,hit,0,0,451.96
2,34,0,hit,0,0,283.87
2,35,0,miss,0,1,1419.84
2,36,0,miss,0,1,659.84
2,37,0,miss,0,1,179.9
2,38,0,hit,0,0,151.1
2,39,1,false_alarm,1,0,383.15
2,40,1,false_alarm,1,0,125.45
3,1,0,hit,0,0,370.96
3,2,1,false_alarm,1,0,188.5
3,3,1,false_alarm,1,0,262.86
3,4,1,false_alarm,1,0,157.23
3,5,1,correct_rejection,1,1,408.65
3,6,0,miss,0,1,170.15
3,7,0,miss,0,1,323.9
3,8,0,miss,0,1,325.44
3,9,1,false_alarm,1,0,104.59
3,10,1,correct_rejection,1,1,120.44
3,11,0,hit,0,0,286.93
3,12,1,false_alarm,1,0,232.58
3,13,1,correct_rejection,1,1,99.94
3,14,0,miss,0,1,131.85
3,15,0,miss,0,1,157.51
3,16,1,false_alarm,1,0,130.29
3,17,1,correct_rejection,1,1,90.26
3,18,1,correct_rejection,1,1,277.49
3,19,1,correct_rejection,1,1,91.89
3,20,0,hit,0,0,111.09
3,21,0,miss,0,1,256.62
3,22,0,miss,0,1,399.05
3,23,0,miss,0,1,149.57
3,24,1,correct_rejection,1,1,111.17
3,25,0,miss,0,1,136.65
3,26,0,hit,0,0,154.3
3,27,1,false_alarm,1,0,131.93
3,28,1,correct_rejection,1,1,149.29
3,29,1,false_alarm,1,0,143.08
3,30,0,miss,0,1,363.88
3,31,1,correct_rejection,1,1,85.47
3,32,0,miss,0,1,93.5
3,33,1,false_alarm,1,0,103.17
3,34,0,miss,0,1,203.82
3,35,0,miss,0,1,137.58
3,36,0,miss,0,1,207.18
3,37,0,miss,0,1,157.36
3,38,0,miss,0,1,189.48
3,39,1,correct_rejection,1,1,186.27
3,40,1,false_alarm,1,0,88.64
4,1,1,false_alarm,1,0,940.78
4,2,0,hit,0,0,1303.88
4,3,1,false_alarm,1,0,482.01
4,4,1,correct_rejection,1,1,893.1
4,5,0,miss,0,1,520.55
4,6,0,miss,0,1,1261.23
4,7,1,correct_rejection,1,1,379.69
4,8,0,hit,0,0,354.11
4,9,1,false_alarm,1,0,696.67
4,10,1,false_alarm,1,0,525.45
4,11,1,false_alarm,1,0,367.14
4,12,1,correct_rejection,1,1,424.55
4,13,1,false_alarm,1,0,408.67
4,14,0,hit,0,0,435.94
4,15,0,hit,0,0,482.22
4,16,1,false_alarm,1,0,288.72
4,17,0,miss,0,1,664.57
4,18,1,false_alarm,1,0,696.64
4,19,0,hit,0,0,488.69
4,20,0,hit,0,0,631.17
4,21,1,false_alarm,1,0,560.67
4,22,0,miss,0,1,187.91
4,23,0,miss,0,1,359.14
4,24,0,hit,0,0,248.65
4,25,1,false_alarm,1,0,640.6
4,26,1,correct_rejection,1,1,317.49
