sbjID,trialn,word,condition,response,RT
9,1,kbmZOYKPB,1,yes,6943.1
9,2,NulkLcO,0,yes,1837.8
9,3,DCmhcUN,1,yes,7125.0
9,4,EtMDMKEdl,0,no,3508.1
9,5,bvkrcUN,0,no,4309.6
9,6,NulkKEdl,1,yes,2983.4
9,7,DCmhEPBT,0,yes,1013.5
9,8,dTmEDYKPB,0,yes,6725.8
9,9,RdPtDmKcD,0,no,2229.9
9,10,CYPcLaA,1,yes,2246.3
9,11,NaJbYZUZ,0,yes,3334.5
9,12,vmuLlYKPB,1,no,4022.7
9,13,AlQaQLcO,0,yes,2838.5
9,14,TAdhMcUN,1,no,5143.5
9,15,LckGNYbBT,1,yes,2005.8
9,16,vmuLlLaA,0,yes,4343.4
9,17,DBlhYZUZ,1,yes,2935.3
9,18,RdPtDvAvb,1,no,3814.4
9,19,DBlhYbBT,0,yes,4599.3
9,20,CchtdvAvb,1,no,3431.2
9,21,JuamlmKcD,1,no,3414.9
9,22,AlQaQKEdl,1,yes,1063.1
9,23,kbmZOLaA,0,yes,1175.3
9,24,CchtdmKcD,0,yes,2375.2
9,25,LckGNYZUZ,0,no,1655.0
9,26,UdlGQmKcD,1,yes,1271.1
9,27,CYPcYKPB,0,yes,2343.4
9,28,UdlGQvAvb,0,yes,2198.6
9,29,bvkrEPBT,1,yes,2629.0
9,30,EtMDMLcO,1,yes,1575.1
9,31,KABAYZUZ,1,no,1607.4
9,32,dTmEDLaA,1,yes,1607.0
9,33,OdlNmEPBT,1,yes,3095.2
9,34,PYkCLcO,1,no,2663.3
9,35,JuamlvAvb,0,yes,1607.2
9,36,NaJbYbBT,1,yes,2774.9
9,37,OdlNmcUN,0,yes,2262.8
9,38,TAdhMEPBT,0,no,2198.8
9,39,PYkCKEdl,0,no,1991.2
9,40,KABAYbBT,0,yes,1255.3
