sbjID,trialn,word,condition,response,RT
1,1,uvaUdmkv,0,yes,715.16
1,2,mcOJrNlZ,0,yes,388.38
1,3,GLYrABRDh,1,yes,501.09
1,4,OmtlDTAm,0,no,558.89
1,5,mcOJtcB,1,no,498.36
1,6,EhRmuOAO,1,yes,307.83
1,7,ckdAmrNlZ,1,yes,307.81
1,8,LckGNuOAO,0,no,344.69
1,9,EhRmhEct,0,yes,411.83
1,10,MDKPvUdm,1,no,171.48
1,11,PMPtkBbM,0,no,403.79
1,12,BEPOrNlZ,1,yes,112.72
1,13,MBmEhEct,0,no,397.4
1,14,LGkALUOk,0,no,242.29
1,15,ECtbDBbM,0,no,274.12
1,16,ckdAmtcB,0,no,259.91
1,17,GLYrAvUdm,0,no,607.13
1,18,PMPtkdmkv,1,yes,147.88
1,19,AdDbBRDh,0,yes,370.07
1,20,OmtlDLUOk,1,no,429.49
1,21,QcQAJBbM,1,no,201.82
1,22,mUOcOuOAO,0,yes,200.6
1,23,BEPOtcB,0,yes,114.3
1,24,MBmEuOAO,1,yes,271.16
1,25,ZcGdNvUdm,0,yes,303.12
1,26,LGkATAm,1,yes,307.88
1,27,MDKPBRDh,0,no,520.67
1,28,BATOcTAm,0,no,346.35
1,29,LuNZrNlZ,0,yes,353.67
1,30,YJkbLUOk,0,no,531.71
1,31,uvaUBbM,1,yes,431.07
1,32,AdDbvUdm,1,no,461.26
1,33,BATOcLUOk,1,yes,80.55
1,34,LuNZtcB,1,no,427.83
1,35,ZcGdNBRDh,1,yes,264.75
1,36,LckGNhEct,1,no,317.49
1,37,QcQAJdmkv,0,yes,529.93
1,38,mUOcOhEct,1,yes,106.29
1,39,ECtbDdmkv,1,no,286.27
1,40,YJkbTAm,1,yes,275.9
