ID partecipante,Timestamp,Age,Sex,City,Country,MaxEdu,L1,L2,L3,L4,otherLs,AoAL1,AoAL2,AoAL3,AoAL4,AoAgioL1,AoAgioL2,AoAgioL3,AoAgioL4,AnniInstiL1,AnniInstiL2,AnniInstiL3,AnniInstiL4,AnniPaeseL1,AnniPaeseL2,AnniPaeseL3,AnniPaeseL4,AnniFamigliaL1,AnniFamigliaL2,AnniFamigliaL3,AnniFamigliaL4,AnniLavoroL1,AnniLavoroL2,AnniLavoroL3,AnniLavoroL4,PercentAmiciL1,PercentAmiciL2,PercentAmiciL3,PercentAmiciL4,PercentFamigliaL1,PercentFamigliaL2,PercentFamigliaL3,PercentFamigliaL4,PercentLavoroL1,PercentLavoroL2,PercentLavoroL3,PercentLavoroL4,PercentStessoL1,PercentStessoL2,PercentStessoL3,PercentStessoL4,PercentCalcoliL1,PercentCalcoliL2,PercentCalcoliL3,PercentCalcoliL4,ParlaL1,ParlaL2,ParlaL3,ParlaL4,CapisceL1,CapisceL2,CapisceL3,CapisceL4,LeggeL1,LeggeL2,LeggeL3,LeggeL4,ScriveL1,ScriveL2,ScriveL3,ScriveL4,SentoStessoL1,SentoStessoL2,SentoStessoL3,SentoStessoL4,CulturaL1,CulturaL2,CulturaL3,CulturaL4,LivelloL1,LivelloL2,LivelloL3,LivelloL4,MadrelinguaL1,MadrelinguaL2,MadrelinguaL3,MadrelinguaL4,AttentionCheck,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score
1,29/03/2023 10:01:51,27,Uomo,Trieste,Italia,Master (primo livello - secondo livello),Italiano,Inglese,Francese,Tedesco,No,20,14,10,0,20,2,0,0,20,5,0,0,20,1,0,0,20,0,0,0,20,5,0,0,6,4,0,0,10,0,0,0,5,5,0,0,9,1,0,0,10,0,0,0,6,4,0,0,6,5,1,0,6,5,0,0,6,5,0,0,6,6,0,0,6,2,0,0,6,6,2,2,6,6,3,2,true,54.480000000000004,12.258000000000001,4.54,0.0,43.6,10.9,0.0,0.0,54.480000000000004,43.13,2.27,0.0,54.480000000000004,45.4,11.35,9.08,207.04000000000002,111.68800000000002,18.16,9.08
2,29/03/2023 15:38:26,27,Uomo,Trieste,Italia,Università (triennale - magistrale),Italiano,Inglese,No,No,No,19,15,0,0,20,12,0,0,18,15,0,0,20,0,0,0,20,10,0,0,3,3,0,0,8,2,0,0,9,1,0,0,7,3,0,0,10,1,0,0,10,1,0,0,6,4,0,0,6,5,0,0,6,5,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,4,0,0,6,5,0,0,true,45.4,24.970000000000002,0.0,0.0,47.96,8.72,0.0,0.0,54.480000000000004,38.59,0.0,0.0,54.480000000000004,34.05,0.0,0.0,202.32,106.33,0.0,0.0
3,30/03/2023 14:54:27,26,Uomo,Carpi,Italia,Dottorato,Italiano,Inglese,Francese,Dialetto locale della regione di Zhejang,Poco cinese mandarino,16,14,0,20,16,7,0,16,17,3,0,0,20,0,1,3,20,0,0,20,3,3,0,0,6,3,1,0,2,0,0,8,5,5,0,0,9,1,0,0,9,1,0,0,6,5,4,2,6,5,5,3,6,5,5,0,6,5,3,0,6,6,6,4,6,2,3,3,6,5,4,4,6,6,6,6,true,41.768,12.258000000000001,0.454,26.786,33.79,10.9,1.09,8.72,54.480000000000004,45.4,38.59,11.35,54.480000000000004,43.13,43.13,38.59,184.51800000000003,111.68799999999999,83.26400000000001,85.446
4,31/03/2023 15:09:58,24,Uomo,Trieste,Italia,Master (primo livello - secondo livello),Italiano,Inglese,No,No,No,20,14,0,0,20,4,0,0,18,10,0,0,20,0,0,0,20,0,0,0,20,1,0,0,6,4,0,0,10,0,0,0,5,5,0,0,9,1,0,0,8,2,0,0,6,4,0,0,6,5,0,0,6,5,0,0,5,4,0,0,6,4,0,0,6,3,0,0,6,6,0,0,6,3,0,0,false,53.572,13.166,0.0,0.0,41.42,13.080000000000002,0.0,0.0,52.21,40.86,0.0,0.0,54.480000000000004,36.32,0.0,0.0,201.68200000000002,103.42599999999999,0.0,0.0
5,01/04/2023 15:22:41,25,Uomo,Padova,Italia,Università (triennale - magistrale),Italiana,Polacco,Inglese,Tedesco,no,20,20,15,9,20,20,8,7,18,18,20,10,20,20,0,0,20,20,0,0,20,1,2,2,8,0,2,0,6,3,1,0,4,3,2,1,5,2,2,1,6,3,1,0,6,6,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,4,6,5,5,2,6,6,6,4,6,6,6,4,true,53.572,44.946,20.43,12.712,31.610000000000003,11.99,8.72,2.18,54.480000000000004,54.480000000000004,52.21,49.94,54.480000000000004,52.21,49.94,31.78,194.142,163.626,131.3,96.612
6,01/04/2023 15:43:44,20,Donna,Bitonto ,Italia,Università (triennale - magistrale),Italiano,Inglese,Spagnolo,Francese,Russo,20,16,11,6,20,14,7,4,20,16,11,5,20,0,0,0,20,0,0,0,1,0,0,0,7,3,0,0,10,0,0,0,3,5,2,0,10,0,0,0,10,0,0,0,6,5,3,2,6,5,4,2,6,5,4,2,6,4,3,2,6,5,2,1,6,2,2,0,6,6,4,3,6,6,3,2,true,45.854,20.884,13.166,6.8100000000000005,43.6,8.72,2.18,0.0,54.480000000000004,43.13,31.78,18.16,54.480000000000004,43.13,24.97,13.620000000000001,198.41400000000004,115.864,72.096,38.59
7,01/04/2023 16:56:56,26,Uomo,Teolo ,Italia,Università (triennale - magistrale),Italiano,Inglese,No,No,No,20,14,0,0,20,0,0,0,13,0,0,0,20,0,0,0,20,0,0,0,6,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,6,1,0,0,6,1,0,0,6,1,0,0,6,1,0,0,6,0,0,0,6,0,0,0,4,4,0,0,6,0,0,0,true,44.946,6.356,0.0,0.0,54.50000000000001,0.0,0.0,0.0,54.480000000000004,9.08,0.0,0.0,49.94,9.08,0.0,0.0,203.86599999999999,24.516,0.0,0.0
8,20/04/2023 15:16:45,28,Donna,Trieste,Italia,Dottorato,Italiano,Inglese,Spagnolo,Nessuna,No,20,14,0,0,20,5,5,0,20,7,0,0,20,0,0,0,20,0,0,0,20,1,0,0,5,5,0,0,10,0,0,0,1,9,0,0,8,2,0,0,9,1,0,0,6,4,2,0,6,5,4,0,6,6,4,0,6,5,1,0,6,5,5,0,6,6,4,0,6,6,4,0,6,6,4,0,true,54.480000000000004,12.258000000000001,2.27,0.0,35.970000000000006,18.53,0.0,0.0,54.480000000000004,45.4,24.97,0.0,54.480000000000004,52.21,38.59,0.0,199.41000000000003,128.398,65.83,0.0
9,26/04/2023 10:20:51,38,Uomo,Udine,Italia,Dottorato,Italiano,Inglese,Nessuna,Nessuna,No,20,9,0,0,20,2,0,0,20,20,0,0,20,0,0,0,20,0,0,0,20,12,0,0,10,0,0,0,10,0,0,0,8,2,0,0,10,1,0,0,10,0,0,0,6,5,0,0,6,4,0,0,6,5,0,0,6,5,0,0,6,4,0,0,6,1,0,0,6,5,0,0,6,2,0,0,false,54.480000000000004,19.522000000000002,0.0,0.0,52.32000000000001,3.2700000000000005,0.0,0.0,54.480000000000004,43.13,0.0,0.0,54.480000000000004,27.240000000000002,0.0,0.0,215.76000000000005,93.162,0.0,0.0
10,27/04/2023 15:42:24,27,Donna,Trieste,Italia,Università (triennale - magistrale),Italiano,Inglese,Nessuna,Nessuna,No,20,14,0,0,20,3,0,0,5,6,0,0,20,2,0,0,20,1,0,0,5,3,0,0,7,3,0,0,10,0,0,0,5,5,0,0,8,2,0,0,10,0,0,0,6,5,0,0,6,6,0,0,6,6,0,0,6,5,0,0,6,5,0,0,6,5,0,0,6,6,0,0,5,3,0,0,true,40.86,13.166,0.0,0.0,43.6,10.9,0.0,0.0,54.480000000000004,49.94,0.0,0.0,52.21,43.13,0.0,0.0,191.15,117.136,0.0,0.0
