,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt,item,Age,Sex,Education,L1,L2,L3,L4,otherLs,AoAL1,AoAL2,AoAL3,AoAL4,AoAgioL1,AoAgioL2,AoAgioL3,AoAgioL4,anniInstrL1,anniInstrL2,anniInstrL3,anniInstrL4,anniPaeseL1,anniPaeseL2,anniPaeseL3,anniPaeseL4,anniFamigliaL1,anniFamigliaL2,anniFamigliaL3,anniFamigliaL4,anniLavoroL1,anniLavoroL2,anniLavoroL3,anniLavoroL4,PercAmiciL1,PercAmiciL2,PercAmiciL3,PercAmiciL4,PercFamigliaL1,PercFamigliaL2,PercFamigliaL3,PercFamigliaL4,PercLavoroL1,PercLavoroL2,PercLavoroL3,PercLavoroL4,PercStessoL1,PercStessoL2,PercStessoL3,PercStessoL4,PercCalcoliL1,PercCalcoliL2,PercCalcoliL3,PercCalcoliL4,ProfParlaL1,ProfParlaL2,ProfParlaL3,ProfParlaL4,ProfCapisceL1,ProfCapisceL2,ProfCapisceL3,ProfCapisceL4,ProfLeggeL1,ProfLeggeL2,ProfLeggeL3,ProfLeggeL4,AttentionL1,AttentionL2,AttentionL3,AttentionL4,ProfScriveL1,ProfScriveL2,ProfScriveL3,ProfScriveL4,AttMiStessoL1,AttMiStessoL2,AttMiStessoL3,AttMiStessoL4,AttCulturaL1,AttCulturaL2,AttCulturaL3,AttCulturaL4,AttLivNativoL1,AttLivNativoL2,AttLivNativoL3,AttLivNativoL4,AttMadrelinguaL1,AttMadrelinguaL2,AttMadrelinguaL3,AttMadrelinguaL4,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score
0,59aaf4b1321f870001d16f6c,BLP,,,,,,,,,23,Uomo,Uni,italiano,inglese,francese,russo,no,0.0,10.0,8.0,4.0,0.0,5.0,3.0,1.0,14.0,10.0,7.0,3.0,20.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,6.0,6.0,4.0,1.0,6.0,6.0,5.0,2.0,true,true,true,true,6.0,6.0,4.0,1.0,6.0,4.0,1.0,0.0,6.0,2.0,2.0,0.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,3.0,33.596000000000004,11.35,9.08,3.632,54.50000000000001,0.0,0.0,0.0,54.480000000000004,54.480000000000004,36.32,9.08,54.480000000000004,40.86,34.05,15.89,197.05600000000004,106.69,79.44999999999999,28.602
0,59aaf4b1321f870001d16f6c,familiarity,1.0,bmbN,aUZA,1.0,1.0,True,2067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59aaf4b1321f870001d16f6c,familiarity,2.0,htmhC,lbBDE,0.0,0.0,True,1306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59aaf4b1321f870001d16f6c,familiarity,3.0,kPOt,PYkC,0.0,1.0,False,1336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59aaf4b1321f870001d16f6c,familiarity,4.0,ZYcQU,ZdNmU,1.0,1.0,True,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59aaf4b1321f870001d16f6c,familiarity,5.0,bGuO,RKYk,0.0,0.0,True,1367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59aaf4b1321f870001d16f6c,familiarity,6.0,cDR,JZr,0.0,1.0,False,1559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59aaf4b1321f870001d16f6c,familiarity,7.0,OdOP,YbBT,1.0,0.0,False,1205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59aaf4b1321f870001d16f6c,familiarity,8.0,AdDb,YZUZ,1.0,0.0,False,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59aaf4b1321f870001d16f6c,familiarity,9.0,ZAUu,YJkb,0.0,1.0,False,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
