word,condition,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,participant_response.keys,participant_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
LckGNY,1,,,,,,,,,0,0,0,35,k,1.8357083001174033,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
TAdhMP,0,,,,,,,,,0,1,1,13,d,0.13552430015988648,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
dJNrAP,1,,,,,,,,,0,2,2,30,k,0.10848739999346435,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
UAcduY,0,,,,,,,,,0,3,3,7,d,0.09931749990209937,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
EhRmDl,0,,,,,,,,,0,4,4,9,k,0.06600719993002713,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
hAROKA,0,,,,,,,,,0,5,5,14,d,0.1229954999871552,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
EPERdJ,1,,,,,,,,,0,6,6,26,k,0.043905300088226795,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
bmbNYA,0,,,,,,,,,0,7,7,3,k,0.3448363998904824,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
tdDdAP,0,,,,,,,,,0,8,8,10,d,0.1439058999530971,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
LOLkUD,1,,,,,,,,,0,9,9,38,k,0.0965344998985529,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
LOLkUk,0,,,,,,,,,0,10,10,8,k,0.17594829993322492,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
LckGNl,0,,,,,,,,,0,11,11,5,k,0.33113860012963414,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
mBYlPE,0,,,,,,,,,0,12,12,17,d,0.22104940004646778,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
aYQmJU,0,,,,,,,,,0,13,13,6,k,0.18908130005002022,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
EYtYRY,0,,,,,,,,,0,14,14,15,d,0.18520380021072924,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
tdDdYL,1,,,,,,,,,0,15,15,20,d,0.23730349983088672,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
laYmrY,1,,,,,,,,,0,16,16,31,k,0.1996731001418084,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
aYQmBb,1,,,,,,,,,0,17,17,36,d,0.21243940014392138,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
dJNrYL,0,,,,,,,,,0,18,18,0,k,0.22842970001511276,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
EYtYRl,1,,,,,,,,,0,19,19,25,k,0.29285559989511967,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
QcladY,0,,,,,,,,,0,20,20,4,k,0.3259224998764694,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
LuNZBb,1,,,,,,,,,0,21,21,32,d,0.1828026999719441,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
laYmrl,0,,,,,,,,,0,22,22,1,k,0.31211340008303523,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
tmAKBb,0,,,,,,,,,0,23,23,12,d,0.3425819999538362,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
hAROKY,1,,,,,,,,,0,24,24,24,k,0.2613382001873106,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
UAcduP,1,,,,,,,,,0,25,25,37,k,0.2687048001680523,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
bmbNPE,1,,,,,,,,,0,26,26,33,k,0.4336369000375271,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
lCbcml,1,,,,,,,,,0,27,27,21,d,0.21390680014155805,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
lCbcmY,0,,,,,,,,,0,28,28,11,k,0.1422757999971509,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
vAarDl,1,,,,,,,,,0,29,29,29,k,0.2944228001870215,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
CmcODl,0,,,,,,,,,0,30,30,18,k,0.25216130004264414,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
mBYlYA,1,,,,,,,,,0,31,31,27,d,0.18679430009797215,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
tmAKJU,1,,,,,,,,,0,32,32,22,k,0.14911809982731938,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
LuNZJU,0,,,,,,,,,0,33,33,2,k,0.5618523000739515,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
EhRmkd,1,,,,,,,,,0,34,34,19,d,0.1499732001684606,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
TAdhMY,1,,,,,,,,,0,35,35,23,k,0.19417340005747974,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
CmcOkd,1,,,,,,,,,0,36,36,28,d,0.10015129996463656,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
QcladA,1,,,,,,,,,0,37,37,34,d,0.20556790009140968,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
EPERdB,0,,,,,,,,,0,38,38,16,d,0.15539569989778101,424482,001,2023-03-09_11h22.50.975,PsychoPy Retry,2022.2.5,59.85855423245262,
