"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","task","item","correct_response","testing_condition","correct","target","confound","name","view_history"
"14280","{""ID"":""698d1d8ff61786b4c5785a1c""}","survey-html-form","0","14280","0.0-0.0","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","","","","","","","","","","","",""
"46449"," ","html-keyboard-response","1","60730","0.0-1.0","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","","",""
"19902","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","80634","0.0-2.0","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","","","","","","","","","","","",""
"7869","{""Languages"":[""English"",""Spanish""]}","survey-multi-select","3","88545","0.0-3.0-0.0","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","","[0]","","","","","","","","","",""
"10363","","fullscreen","4","99912","0.0-4.0","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","","","true","","","","","","","","",""
"436983"," ","html-keyboard-response","5","563922","0.0-5.0","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","","",""
"null","null","html-keyboard-response","6","563926","0.0-6.0","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","","",""
"null","null","html-keyboard-response","7","564928","0.0-7.0-0.0","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">ZDOZDBPG</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","8","565931","0.0-7.0-0.1","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">LOVBNRPO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","9","566934","0.0-7.0-0.2","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">UXVTIQAIT</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","10","567937","0.0-7.0-0.3","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">GNFQWNRPO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","11","568939","0.0-7.0-0.4","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">QYLKSXD</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","12","569942","0.0-7.0-0.5","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">NTGLGJLSE</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","13","570945","0.0-7.0-0.6","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">RZSVDBPG</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","14","571948","0.0-7.0-0.7","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">GNFQWSXD</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","15","572951","0.0-7.0-0.8","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">PWEXEPZOU</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","16","573953","0.0-7.0-0.9","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">MJWMJLSE</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","17","574955","0.0-7.0-0.10","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">AQOZOEYLH</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","18","575958","0.0-7.0-0.11","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">QYLKNRPO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","19","576960","0.0-7.0-0.12","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">AOGKFWLC</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","20","577963","0.0-7.0-0.13","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">OSHEZSXD</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","21","578966","0.0-7.0-0.14","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">UXVTINRPO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","22","579968","0.0-7.0-0.15","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">TJGUFDO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","23","580971","0.0-7.0-0.16","698d1d8ff61786b4c5785a1c","69de1b11a980ed2dab60a60c","69e0dcca72cb23bdab4e8e50","<p style=""font-size: 60px; font-family: FragmentMono"">QYLKQAIT</p>","","","training","","","","","","","",""
