"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","task","item","correct_response","testing_condition","correct","target","confound","name","view_history"
"5792","{""ID"":""6989da604f75e4c44ffefa17""}","survey-html-form","0","5793","0.0-0.0","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","","","","","","","","","","","",""
"12234"," ","html-keyboard-response","1","18028","0.0-1.0","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","","",""
"54399","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","72432","0.0-2.0","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","","","","","","","","","","","",""
"12930","{""Languages"":[""Arabic"",""English""]}","survey-multi-select","3","85397","0.0-3.0-0.0","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","","[0]","","","","","","","","","",""
"4748","","fullscreen","4","91153","0.0-4.0","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","","","true","","","","","","","","",""
"15362"," ","html-keyboard-response","5","106516","0.0-5.0","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","","",""
"null","null","html-keyboard-response","6","106525","0.0-6.0","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","","",""
"null","null","html-keyboard-response","7","107532","0.0-7.0-0.0","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">RWEQMUZO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","8","108548","0.0-7.0-0.1","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">BLZEPGF</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","9","109564","0.0-7.0-0.2","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">EDMKNRPO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","10","110580","0.0-7.0-0.3","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">RWEQMPGF</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","11","111588","0.0-7.0-0.4","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">AQOZOEYLH</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","12","112590","0.0-7.0-0.5","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">CYFTNKMT</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","13","113599","0.0-7.0-0.6","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">ZUKXOQRW</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","14","114608","0.0-7.0-0.7","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">RZSVQBTR</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","15","115613","0.0-7.0-0.8","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">EDMKEYLH</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","16","116617","0.0-7.0-0.9","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">QWVPXZTE</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","17","117631","0.0-7.0-0.10","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">JXTJXDCP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","18","118638","0.0-7.0-0.11","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">YOWYCPGF</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","19","119639","0.0-7.0-0.12","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">JZQMJDCP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","20","120655","0.0-7.0-0.13","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">RWEQMQBTR</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","21","121671","0.0-7.0-0.14","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">ZUKXODCP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","22","122686","0.0-7.0-0.15","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">WLXCMZTE</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","23","123694","0.0-7.0-0.16","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">CYFTEYLH</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","24","124709","0.0-7.0-0.17","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">WZUYTDCP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","25","125724","0.0-7.0-0.18","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">CYFTQRW</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","26","126741","0.0-7.0-0.19","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">WLXCMQBTR</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","27","127756","0.0-7.0-0.20","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">JXTJXQRW</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","28","128757","0.0-7.0-0.21","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">JZQMJNRPO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","29","129774","0.0-7.0-0.22","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">YOWYCZTE</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","30","130775","0.0-7.0-0.23","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">MSYCQBTR</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","31","131791","0.0-7.0-0.24","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">WZUYTNKMT</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","32","132806","0.0-7.0-0.25","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">YOWYCQBTR</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","33","133822","0.0-7.0-0.26","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">OPFHSGYV</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","34","134828","0.0-7.0-0.27","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">MSYCUZO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","35","135844","0.0-7.0-0.28","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">RZSVPGF</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","36","136860","0.0-7.0-0.29","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">UBSUQRW</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","37","137876","0.0-7.0-0.30","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">XQXQFNRPO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","38","138891","0.0-7.0-0.31","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">MFELGYV</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","39","139908","0.0-7.0-0.32","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">RCSCSEYLH</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","40","140925","0.0-7.0-0.33","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">YOWYCUZO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","41","141931","0.0-7.0-0.34","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">MSYCZTE</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","42","142937","0.0-7.0-0.35","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">XQXQFQRW</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","43","143953","0.0-7.0-0.36","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">EDMKNKMT</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","44","144970","0.0-7.0-0.37","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">OPFHSQBTR</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","45","145985","0.0-7.0-0.38","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">QWVPXGYV</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","46","147002","0.0-7.0-0.39","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">UBSUEYLH</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","47","148017","0.0-7.0-0.40","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">AQOZONKMT</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","48","149032","0.0-7.0-0.41","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">BLZEQBTR</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","49","150047","0.0-7.0-0.42","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">SPIEFGYV</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","50","151049","0.0-7.0-0.43","6989da604f75e4c44ffefa17","69d7901e3430d13455efb336","69e61d67368c1fcf7620ac54","<p style=""font-size: 60px; font-family: FragmentMono"">AQOZODCP</p>","","","training","","","","","","","",""
