"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","task","item","correct_response","testing_condition","correct","target","confound","name","view_history"
"17648","{""ID"":""66ce4da62b4ca0e6ead754d6""}","survey-html-form","0","17651","0.0-0.0","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","","","","","","","","","","","",""
"17661"," ","html-keyboard-response","1","35314","0.0-1.0","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","","",""
"60558","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","95874","0.0-2.0","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","","","","","","","","","","","",""
"13647","{""Languages"":[""Arabic"",""English""]}","survey-multi-select","3","109588","0.0-3.0-0.0","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","","[0]","","","","","","","","","",""
"38074","","fullscreen","4","148672","0.0-4.0","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","","","true","","","","","","","","",""
"35182"," ","html-keyboard-response","5","183856","0.0-5.0","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","","",""
"null","null","html-keyboard-response","6","183885","0.0-6.0","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","","",""
"null","null","html-keyboard-response","7","184898","0.0-7.0-0.0","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">NJLIUHN</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","8","185902","0.0-7.0-0.1","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">DHNYVHGM</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","9","186904","0.0-7.0-0.2","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">JKGDEQVF</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","10","187907","0.0-7.0-0.3","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">QVKNJXV</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","11","188919","0.0-7.0-0.4","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">JXTJXWDRL</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","12","189927","0.0-7.0-0.5","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">GRYLEQVF</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","13","190940","0.0-7.0-0.6","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">IDKYXUPHS</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","14","191942","0.0-7.0-0.7","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">QGZSBVLT</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","15","192952","0.0-7.0-0.8","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">WMZMMKBLP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","16","193961","0.0-7.0-0.9","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">REAHUBVLT</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","17","194968","0.0-7.0-0.10","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">YNQYEQVF</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","18","195979","0.0-7.0-0.11","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">IDKYXVDIS</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","19","196984","0.0-7.0-0.12","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">QGZSWDRL</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","20","197992","0.0-7.0-0.13","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">HUVWUBVLT</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","21","199007","0.0-7.0-0.14","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">VPKWHKBLP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","22","200015","0.0-7.0-0.15","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">QVKNPEX</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","23","201022","0.0-7.0-0.16","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">PHCHIVDIS</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","24","202026","0.0-7.0-0.17","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">DHNYUHN</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","25","203027","0.0-7.0-0.18","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">HUVWUPEX</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","26","204031","0.0-7.0-0.19","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">AJDZUKBLP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","27","205038","0.0-7.0-0.20","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">CYMJLUHN</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","28","206041","0.0-7.0-0.21","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">JKGDUPHS</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","29","207051","0.0-7.0-0.22","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">HUVWUJXV</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","30","208057","0.0-7.0-0.23","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">GEUHQUHN</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","31","209068","0.0-7.0-0.24","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">WMZMMJXV</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","32","210078","0.0-7.0-0.25","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">PHCHIEQVF</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","33","211090","0.0-7.0-0.26","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">QVKNBVLT</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","34","212099","0.0-7.0-0.27","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">CYMJLVDIS</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","35","213100","0.0-7.0-0.28","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">YNQYUPHS</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","36","214102","0.0-7.0-0.29","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">VPKWHJXV</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","37","215103","0.0-7.0-0.30","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">NJLIVDIS</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","38","216116","0.0-7.0-0.31","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">PHCHIVHGM</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","39","217127","0.0-7.0-0.32","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">ZFBJUPHS</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","40","218130","0.0-7.0-0.33","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">NJLIEQVF</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","41","219132","0.0-7.0-0.34","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">QTDVJXV</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","42","220138","0.0-7.0-0.35","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">PHCHIUHN</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","43","221142","0.0-7.0-0.36","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">QTDVWDRL</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","44","222150","0.0-7.0-0.37","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">GNWHKBLP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","45","223162","0.0-7.0-0.38","66ce4da62b4ca0e6ead754d6","69d7901e3430d13455efb336","69e621c7ec5a16968bb39042","<p style=""font-size: 60px; font-family: FragmentMono"">GRYLUHN</p>","","","training","","","","","","","",""
