"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","task","item","correct_response","testing_condition","correct","target","confound","name","view_history"
"6001","{""ID"":""698b4e2840974dba43e185e8""}","survey-html-form","0","6003","0.0-0.0","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","","","","","","","","","","","",""
"1825"," ","html-keyboard-response","1","7829","0.0-1.0","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","","",""
"7052772","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","7051753","0.0-2.0","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","","","","","","","","","","","",""
"4741","{""Languages"":[""Arabic"",""English"",""French""]}","survey-multi-select","3","7056530","0.0-3.0-0.0","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","","[0]","","","","","","","","","",""
"1005","","fullscreen","4","7058552","0.0-4.0","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","","","true","","","","","","","","",""
"801"," ","html-keyboard-response","5","7059354","0.0-5.0","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","","",""
"null","null","html-keyboard-response","6","7059359","0.0-6.0","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","","",""
"null","null","html-keyboard-response","7","7060372","0.0-7.0-0.0","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">LQXIPSU</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","8","7061385","0.0-7.0-0.1","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">DJZJDRBW</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","9","7062397","0.0-7.0-0.2","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">JNIWKMWYP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","10","7063412","0.0-7.0-0.3","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">AEBWNLP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","11","7064428","0.0-7.0-0.4","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">BWRLYOIWO</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","12","7065430","0.0-7.0-0.5","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">FPKYAEXJ</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","13","7066445","0.0-7.0-0.6","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">BZSURTUXE</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","14","7067458","0.0-7.0-0.7","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">FSZRBGI</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","15","7068472","0.0-7.0-0.8","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">JNIWKNLP</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","16","7069485","0.0-7.0-0.9","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">ZKGBFAEXJ</p>","","","training","","","","","","","",""
"null","null","html-keyboard-response","17","7070487","0.0-7.0-0.10","698b4e2840974dba43e185e8","69d7901e3430d13455efb336","69e6172e38f1fb93b16f15eb","<p style=""font-size: 60px; font-family: FragmentMono"">AEBWPSU</p>","","","training","","","","","","","",""
