"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","task","item","correct_response","testing_condition","correct","target","confound","name"
"11296","{""ID"":""6983518f181a5c0bd8d4742c""}","survey-html-form","0","11299","0.0-0.0","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","","","","","","","","","","",""
"8619"," ","html-keyboard-response","1","19921","0.0-1.0","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","",""
"44400","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","64322","0.0-2.0","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","","","","","","","","","","",""
"33439","{""Languages"":[""Arabic"",""English""]}","survey-multi-select","3","97823","0.0-3.0-0.0","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","","[0]","","","","","","","","",""
"9703","","fullscreen","4","108544","0.0-4.0","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","","","true","","","","","","","",""
"54174"," ","html-keyboard-response","5","162719","0.0-5.0","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","",""
"null","null","html-keyboard-response","6","162723","0.0-6.0","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","",""
"null","null","html-keyboard-response","7","163730","0.0-7.0-0.0","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">NBTVOCAMU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","8","164735","0.0-7.0-0.1","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">GEUHQTHXI</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","9","165742","0.0-7.0-0.2","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">SHSPKQRK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","10","166752","0.0-7.0-0.3","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">UYZYRJMH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","11","167756","0.0-7.0-0.4","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">ILVQCAMU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","12","168757","0.0-7.0-0.5","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">GRYLCAVY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","13","169763","0.0-7.0-0.6","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">UYZYMYFT</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","14","170764","0.0-7.0-0.7","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">IQEVFCAMU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","15","171765","0.0-7.0-0.8","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">KYNYTHXI</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","16","172766","0.0-7.0-0.9","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">THVXZKQRK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","17","173772","0.0-7.0-0.10","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">GEUHQCAVY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","18","174777","0.0-7.0-0.11","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">WPBQRJMH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","19","175793","0.0-7.0-0.12","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">CEBGRWUK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","20","176798","0.0-7.0-0.13","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">KYNYCAVY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","21","177799","0.0-7.0-0.14","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">GEUHQRXWK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","22","178802","0.0-7.0-0.15","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">UXVTIMYFT</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","23","179806","0.0-7.0-0.16","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">WBCHUYL</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","24","180809","0.0-7.0-0.17","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">GRYLCAMU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","25","181814","0.0-7.0-0.18","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">OXZKVPRQ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","26","182817","0.0-7.0-0.19","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">THVXZCAMU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","27","183819","0.0-7.0-0.20","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">XZQFMYFT</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","28","184822","0.0-7.0-0.21","6983518f181a5c0bd8d4742c","69d7901e3430d13455efb336","69e8b64bd183a87897a9103d","<p style=""font-size: 60px; font-family: FragmentMono"">ZKGBFUYL</p>","","","training","","","","","","",""
