"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","task","item","correct_response","testing_condition","correct","target","confound","name"
"11701","{""ID"":""65b3c533a99b6a6b97a6f54a""}","survey-html-form","0","11703","0.0-0.0","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","","","","","","","","","","",""
"54042"," ","html-keyboard-response","1","65746","0.0-1.0","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","",""
"18807","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","84554","0.0-2.0","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","","","","","","","","","","",""
"17753","{""Languages"":[""English"",""Greek""]}","survey-multi-select","3","102339","0.0-3.0-0.0","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","","[0]","","","","","","","","",""
"12173","","fullscreen","4","115528","0.0-4.0","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","","","true","","","","","","","",""
"36343"," ","html-keyboard-response","5","151872","0.0-5.0","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","",""
"null","null","html-keyboard-response","6","151876","0.0-6.0","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","",""
"null","null","html-keyboard-response","7","152884","0.0-7.0-0.0","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">OEDRAZSPY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","8","153900","0.0-7.0-0.1","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">FYDVZKY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","9","154901","0.0-7.0-0.2","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">TMZDNUMGW</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","10","155903","0.0-7.0-0.3","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">YIUGCAMU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","11","156915","0.0-7.0-0.4","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">EXDTZKY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","12","157929","0.0-7.0-0.5","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">YKJSIKQW</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","13","158943","0.0-7.0-0.6","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">FBMNDFM</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","14","159958","0.0-7.0-0.7","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">XUDJMUMGW</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","15","160964","0.0-7.0-0.8","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">GUVRKQW</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","16","161965","0.0-7.0-0.9","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">OEDRAZKY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","17","162968","0.0-7.0-0.10","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">FBMNEYLH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","18","163982","0.0-7.0-0.11","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">IDCMUKQW</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","19","164984","0.0-7.0-0.12","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">FYDVZSPY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","20","165990","0.0-7.0-0.13","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">GUVRPNSG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","21","167002","0.0-7.0-0.14","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">OWJBZSPY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","22","168006","0.0-7.0-0.15","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">EXDTDFM</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","23","169019","0.0-7.0-0.16","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">FBMNZKY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","24","170031","0.0-7.0-0.17","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">EOSUXZTE</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","25","171032","0.0-7.0-0.18","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">BABJZSPY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","26","172037","0.0-7.0-0.19","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">HVFDAZTE</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","27","173049","0.0-7.0-0.20","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">EOSUXKQW</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","28","174053","0.0-7.0-0.21","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">YKJSIZTE</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","29","175055","0.0-7.0-0.22","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">OWJBZKY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","30","176056","0.0-7.0-0.23","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">QYLKDFM</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","31","177058","0.0-7.0-0.24","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">XFSVZTE</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","32","178060","0.0-7.0-0.25","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">QYLKEYLH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","33","179062","0.0-7.0-0.26","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">TMZDNDFM</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","34","180077","0.0-7.0-0.27","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">TJGUKQW</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","35","181079","0.0-7.0-0.28","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">FYDVUMGW</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","36","182092","0.0-7.0-0.29","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">WLXCMHDC</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","37","183106","0.0-7.0-0.30","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">HVFDAPNSG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","38","184121","0.0-7.0-0.31","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">YKJSIHDC</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","39","185138","0.0-7.0-0.32","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">RKSFZSPY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","40","186153","0.0-7.0-0.33","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">WLXCMCAMU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","41","187169","0.0-7.0-0.34","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">TJGUPNSG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","42","188172","0.0-7.0-0.35","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">FYDVDFM</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","43","189173","0.0-7.0-0.36","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">RKSFZKY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","44","190179","0.0-7.0-0.37","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">OWJBUMGW</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","45","191194","0.0-7.0-0.38","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">XUDJMZSPY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","46","192201","0.0-7.0-0.39","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">GUVRZTE</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","47","193217","0.0-7.0-0.40","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">OWJBDFM</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","48","194221","0.0-7.0-0.41","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">GUVRHDC</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","49","195223","0.0-7.0-0.42","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">IDCMUPNSG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","50","196225","0.0-7.0-0.43","65b3c533a99b6a6b97a6f54a","69d7901e3430d13455efb336","69e8be729b88b25bd25a1148","<p style=""font-size: 60px; font-family: FragmentMono"">EXDTEYLH</p>","","","training","","","","","","",""
