"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","task","item","correct_response","testing_condition","correct","target","confound","name"
"3555","{""ID"":""69dcfc3bcb3d5759729e920e""}","survey-html-form","0","3557","0.0-0.0","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","","","","","","","","","","",""
"8208"," ","html-keyboard-response","1","11774","0.0-1.0","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","",""
"14965","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","26745","0.0-2.0","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","","","","","","","","","","",""
"13181","{""Languages"":[""Chinese"",""English"",""Japanese""]}","survey-multi-select","3","39979","0.0-3.0-0.0","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","","[0]","","","","","","","","",""
"3919","","fullscreen","4","44907","0.0-4.0","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","","","true","","","","","","","",""
"22344"," ","html-keyboard-response","5","67255","0.0-5.0","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","",""
"null","null","html-keyboard-response","6","67261","0.0-6.0","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","",""
"null","null","html-keyboard-response","7","68263","0.0-7.0-0.0","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">IDCMUVEWG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","8","69267","0.0-7.0-0.1","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">LDEGPNSG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","9","70270","0.0-7.0-0.2","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">MEBMQHS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","10","71272","0.0-7.0-0.3","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">BZBJSVEWG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","11","72275","0.0-7.0-0.4","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">NZGVQHS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","12","73278","0.0-7.0-0.5","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">PWEXEPNSG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","13","74281","0.0-7.0-0.6","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">HNCXAQHS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","14","75283","0.0-7.0-0.7","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">YSWYORFI</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","15","76286","0.0-7.0-0.8","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">SLHUOVEWG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","16","77289","0.0-7.0-0.9","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">WBCHQHS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","17","78291","0.0-7.0-0.10","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">BZBJSVHGM</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","18","79294","0.0-7.0-0.11","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">WMSDQHS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","19","80295","0.0-7.0-0.12","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">IDKYXPZOU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","20","81298","0.0-7.0-0.13","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">NZGVZQA</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","21","82301","0.0-7.0-0.14","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">HNCXATUXE</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","22","83303","0.0-7.0-0.15","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">YSWYOPZOU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","23","84305","0.0-7.0-0.16","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">SLHUOPNSG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","24","85307","0.0-7.0-0.17","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">NZGVTUXE</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","25","86310","0.0-7.0-0.18","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">BWVFZQA</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","26","87313","0.0-7.0-0.19","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">UABSRFI</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","27","88316","0.0-7.0-0.20","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">LOVBTUXE</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","28","89318","0.0-7.0-0.21","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">IDKYXVHGM</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","29","90320","0.0-7.0-0.22","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">UABSPZOU</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","30","91323","0.0-7.0-0.23","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">UYZYZQA</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","31","92325","0.0-7.0-0.24","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">VUWYKVEWG</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","32","93328","0.0-7.0-0.25","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">LOVBZKY</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","33","94331","0.0-7.0-0.26","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">BWVFQHS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","34","95333","0.0-7.0-0.27","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">COMFVZQA</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","35","96334","0.0-7.0-0.28","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">MEBMTUXE</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","36","97337","0.0-7.0-0.29","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">LOVBQAIT</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","37","98340","0.0-7.0-0.30","69dcfc3bcb3d5759729e920e","69d7901e3430d13455efb336","69e8dbc852e9e8fd39c8fdf0","<p style=""font-size: 60px; font-family: FragmentMono"">UYZYTUXE</p>","","","training","","","","","","",""
