"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","task","item","correct_response","testing_condition","correct","target","confound","name"
"7327","{""ID"":""697cb146afcfe842ae49bdd4""}","survey-html-form","0","7328","0.0-0.0","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","","","","","","","","","","",""
"14791"," ","html-keyboard-response","1","22120","0.0-1.0","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","",""
"18541","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","40661","0.0-2.0","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","","","","","","","","","","",""
"7893","{""Languages"":[""English"",""Portuguese""]}","survey-multi-select","3","48585","0.0-3.0-0.0","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","","[0]","","","","","","","","",""
"6521","","fullscreen","4","56117","0.0-4.0","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","","","true","","","","","","","",""
"19908"," ","html-keyboard-response","5","76025","0.0-5.0","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","",""
"null","null","html-keyboard-response","6","76027","0.0-6.0","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","",""
"null","null","html-keyboard-response","7","77038","0.0-7.0-0.0","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">YWQLAUZQ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","8","78048","0.0-7.0-0.1","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">ILGFPZKS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","9","79048","0.0-7.0-0.2","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">OGDSKUHN</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","10","80054","0.0-7.0-0.3","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">XZQFPZKS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","11","81056","0.0-7.0-0.4","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">OGDSKEQZ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","12","82067","0.0-7.0-0.5","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">TUSOGUHN</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","13","83068","0.0-7.0-0.6","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">SNUXRWUK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","14","84076","0.0-7.0-0.7","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">DNYMKBLP</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","15","85077","0.0-7.0-0.8","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">WPBQUVBH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","16","86089","0.0-7.0-0.9","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">EKCYGSONL</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","17","87104","0.0-7.0-0.10","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">DHNYTPK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","18","88104","0.0-7.0-0.11","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">WPBQRWUK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","19","89111","0.0-7.0-0.12","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">DNYMOLHX</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","20","90112","0.0-7.0-0.13","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">WPBQKBLP</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","21","91115","0.0-7.0-0.14","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">HVFDASONL</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","22","92119","0.0-7.0-0.15","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">JXTJXRWUK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","23","93127","0.0-7.0-0.16","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">SNUXOLHX</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","24","94140","0.0-7.0-0.17","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">PJRYEQZ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","25","95141","0.0-7.0-0.18","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">DHNYSONL</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","26","96156","0.0-7.0-0.19","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">TLCHGUHN</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","27","97156","0.0-7.0-0.20","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">HTZXDKBLP</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","28","98157","0.0-7.0-0.21","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">HVFDAUZQ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","29","99166","0.0-7.0-0.22","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">JXTJXPZKS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","30","100167","0.0-7.0-0.23","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">ZBTFUHN</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","31","101167","0.0-7.0-0.24","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">XZQFKBLP</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","32","102183","0.0-7.0-0.25","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">HVFDATPK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","33","103195","0.0-7.0-0.26","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">WPBQOLHX</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","34","104200","0.0-7.0-0.27","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">QANKYUHN</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","35","105212","0.0-7.0-0.28","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">PKCBHRWUK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","36","106226","0.0-7.0-0.29","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">TLCHGUZQ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","37","107231","0.0-7.0-0.30","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">ILGFOLHX</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","38","108235","0.0-7.0-0.31","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">ZBTFSONL</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","39","109251","0.0-7.0-0.32","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">YWQLAUHN</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","40","110260","0.0-7.0-0.33","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">DHNYEQZ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","41","111274","0.0-7.0-0.34","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">QANKYSONL</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","42","112287","0.0-7.0-0.35","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">WDZBSOLHX</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","43","113303","0.0-7.0-0.36","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">SNUXKBLP</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","44","114306","0.0-7.0-0.37","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">WDZBSRWUK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","45","115316","0.0-7.0-0.38","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">PJRYUZQ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","46","116332","0.0-7.0-0.39","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">YWQLASONL</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","47","117338","0.0-7.0-0.40","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">HVFDAEQZ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","48","118340","0.0-7.0-0.41","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">EKCYGUZQ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","49","119350","0.0-7.0-0.42","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">XZQFUVBH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","50","120353","0.0-7.0-0.43","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">SNUXPZKS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","51","121363","0.0-7.0-0.44","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">TLCHGSONL</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","52","122369","0.0-7.0-0.45","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">RUOSFPZKS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","53","123373","0.0-7.0-0.46","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">HTZXDUVBH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","54","124378","0.0-7.0-0.47","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">PJRYTPK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","55","125392","0.0-7.0-0.48","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">WDZBSPZKS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","56","126410","0.0-7.0-0.49","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">ILGFUVBH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","57","127412","0.0-7.0-0.50","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">RUOSFOLHX</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","58","128421","0.0-7.0-0.51","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">PKCBHUVBH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","59","129426","0.0-7.0-0.52","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">ZBTFUZQ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","60","130430","0.0-7.0-0.53","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">PJRYUHN</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","61","131432","0.0-7.0-0.54","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">YWQLATPK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","62","132444","0.0-7.0-0.55","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">TUSOGSONL</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","63","133453","0.0-7.0-0.56","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">RUOSFRWUK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","64","134461","0.0-7.0-0.57","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">JXTJXKBLP</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","65","135477","0.0-7.0-0.58","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">QANKYEQZ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","66","136483","0.0-7.0-0.59","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">TLCHGTPK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","67","137488","0.0-7.0-0.60","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">DNYMPZKS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","68","138495","0.0-7.0-0.61","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">DHNYUHN</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","69","139511","0.0-7.0-0.62","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">DNYMRWUK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","70","140516","0.0-7.0-0.63","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">PKCBHOLHX</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","71","141531","0.0-7.0-0.64","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">TUSOGTPK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","72","142546","0.0-7.0-0.65","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">HTZXDPZKS</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","73","143551","0.0-7.0-0.66","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">TUSOGEQZ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","74","144567","0.0-7.0-0.67","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">OGDSKUZQ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","75","145574","0.0-7.0-0.68","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">XZQFRWUK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","76","146581","0.0-7.0-0.69","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">ILGFKBLP</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","77","147590","0.0-7.0-0.70","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">JXTJXUVBH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","78","148590","0.0-7.0-0.71","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">QANKYUZQ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","79","149603","0.0-7.0-0.72","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">RUOSFUVBH</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","80","150610","0.0-7.0-0.73","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">OGDSKTPK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","81","151615","0.0-7.0-0.74","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">ZBTFEQZ</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","82","152616","0.0-7.0-0.75","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">HTZXDOLHX</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","83","153617","0.0-7.0-0.76","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">EKCYGTPK</p>","","","training","","","","","","",""
"null","null","html-keyboard-response","84","154626","0.0-7.0-0.77","697cb146afcfe842ae49bdd4","69d7901e3430d13455efb336","69ea0c357d4837c988a89387","<p style=""font-size: 60px; font-family: FragmentMono"">WDZBSUVBH</p>","","","training","","","","","","",""
