rt,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,stimulus,question_order,success,word,task,new_stim,input,stimuli,item,correct_response,testing_condition,correct,target,confound,name,view_history
2684,"{""ID"":""6986a19e46ebcbecef51dd75""}",survey-html-form,0,2685,0.0-0.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,,,,,,,,,,,,,,,,
850, ,html-keyboard-response,1,3535,0.0-1.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,"<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>",,,,,,,,,,,,,,,
4000,"{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}",survey-html-form,2,7536,0.0-2.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,,,,,,,,,,,,,,,,
5634,"{""Languages"":[""English""]}",survey-multi-select,3,13208,0.0-3.0-0.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,,[0],,,,,,,,,,,,,,
6193,,fullscreen,4,20405,0.0-4.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,,,TRUE,,,,,,,,,,,,,
21323, ,html-keyboard-response,5,41728,0.0-5.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,"<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>",,,,,,,,,,,,,,,
null,null,html-keyboard-response,6,41730,0.0-6.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,"<p style=""font-size: 1px; font-family: FragmentMono""> x </p>",,,,,,,,,,,,,,,
18720, ,html-keyboard-response,7,60450,0.0-7.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,"<p style=""font-size: 30px"">You're a language expert who's been asked to look at some messages that Earth has received from space. From previous communications, we know some pieces of the words these aliens use. In this first part, we'll ask you to spell out 30 word parts, which will help you understand the messages we've received!</p>
      <p style=""font-size: 30px"">Please press the spacebar when you're ready.</p>",,,,,,,,,,,,,,,
5867,9,html-button-response,8,66320,0.0-8.0-0.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,"<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">JBNI</p><p style=""font-size: 50px;font-family:FragmentMono""><p style=""font-size: 50px;color:#808080"">i</p>",,,JBNI,morph_training,"<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">JBNI</p><p style=""font-size: 50px;font-family:FragmentMono"">J",J,"[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JBNI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JBNI"",""word"":""JBNI"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VCEG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VCEG"",""word"":""VCEG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TZF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TZF"",""word"":""TZF"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XVELS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XVELS"",""word"":""XVELS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZBTF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZBTF"",""word"":""ZBTF"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OXVJL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OXVJL"",""word"":""OXVJL"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZRT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZRT"",""word"":""ZRT"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UGYK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UGYK"",""word"":""UGYK"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OQG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OQG"",""word"":""OQG"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">YWGO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">YWGO"",""word"":""YWGO"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">EDMK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">EDMK"",""word"":""EDMK"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UZQ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UZQ"",""word"":""UZQ"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BGI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BGI"",""word"":""BGI"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MFEL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MFEL"",""word"":""MFEL"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VPKWH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VPKWH"",""word"":""VPKWH"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">YVN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">YVN"",""word"":""YVN"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TWYN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TWYN"",""word"":""TWYN"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">SHXVK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">SHXVK"",""word"":""SHXVK"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BXKJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BXKJ"",""word"":""BXKJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CWGEV</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CWGEV"",""word"":""CWGEV"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WDRL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WDRL"",""word"":""WDRL"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JNIWK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JNIWK"",""word"":""JNIWK"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VBQJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VBQJ"",""word"":""VBQJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VWNM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VWNM"",""word"":""VWNM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">AKYS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">AKYS"",""word"":""AKYS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BIPA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BIPA"",""word"":""BIPA"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZKGBF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZKGBF"",""word"":""ZKGBF"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XWUBM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XWUBM"",""word"":""XWUBM"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NOQI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NOQI"",""word"":""NOQI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DCP</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DCP"",""word"":""DCP"",""length"":203}]",,,,,,,,
2930,1,html-button-response,9,69253,0.0-8.0-1.0-0.0,6986a19e46ebcbecef51dd75,698af3c7ed46e59b23a73289,69cf7d6522511c06f6a2e29b,"<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">JBNI</p><p style=""font-size: 50px;font-family:FragmentMono"">J",,,JBNI,morph_training,"<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">JBNI</p><p style=""font-size: 50px;font-family:FragmentMono"">JB",JB,"[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JBNI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JBNI"",""word"":""JBNI"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VCEG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VCEG"",""word"":""VCEG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TZF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TZF"",""word"":""TZF"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XVELS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XVELS"",""word"":""XVELS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZBTF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZBTF"",""word"":""ZBTF"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OXVJL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OXVJL"",""word"":""OXVJL"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZRT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZRT"",""word"":""ZRT"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UGYK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UGYK"",""word"":""UGYK"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OQG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OQG"",""word"":""OQG"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">YWGO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">YWGO"",""word"":""YWGO"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">EDMK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">EDMK"",""word"":""EDMK"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UZQ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UZQ"",""word"":""UZQ"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BGI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BGI"",""word"":""BGI"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MFEL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MFEL"",""word"":""MFEL"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VPKWH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VPKWH"",""word"":""VPKWH"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">YVN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">YVN"",""word"":""YVN"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TWYN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TWYN"",""word"":""TWYN"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">SHXVK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">SHXVK"",""word"":""SHXVK"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BXKJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BXKJ"",""word"":""BXKJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CWGEV</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CWGEV"",""word"":""CWGEV"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WDRL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WDRL"",""word"":""WDRL"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JNIWK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JNIWK"",""word"":""JNIWK"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VBQJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VBQJ"",""word"":""VBQJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VWNM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VWNM"",""word"":""VWNM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">AKYS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">AKYS"",""word"":""AKYS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BIPA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BIPA"",""word"":""BIPA"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZKGBF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZKGBF"",""word"":""ZKGBF"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XWUBM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XWUBM"",""word"":""XWUBM"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NOQI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NOQI"",""word"":""NOQI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DCP</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DCP"",""word"":""DCP"",""length"":203}]",,,,,,,,
