"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","word","task","new_stim","input","stimuli","item","correct_response","testing_condition","correct","target","confound","name","view_history"
"4765","{""ID"":""69838401d1cfe5c9b90101d5""}","survey-html-form","0","4767","0.0-0.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","","","","","","","","","","","","","","","",""
"37434"," ","html-keyboard-response","1","42205","0.0-1.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","","","","","","",""
"29593","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","71799","0.0-2.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","","","","","","","","","","","","","","","",""
"11575","{""Languages"":[""English"",""Portuguese""]}","survey-multi-select","3","83407","0.0-3.0-0.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","","[0]","","","","","","","","","","","","","",""
"9733","","fullscreen","4","94157","0.0-4.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","","","true","","","","","","","","","","","","",""
"32241"," ","html-keyboard-response","5","126399","0.0-5.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","","","","","","",""
"null","null","html-keyboard-response","6","126412","0.0-6.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","","","","","","",""
"21356"," ","html-keyboard-response","7","147769","0.0-7.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","<p style=""font-size: 30px"">You're a language expert who's been asked to look at some messages that Earth has received from space. From previous communications, we know some pieces of the words these aliens use. In this first part, we'll ask you to spell out 30 word parts, which will help you understand the messages we've received!</p>
      <p style=""font-size: 30px"">Please press the spacebar when you're ready.</p>","","","","","","","","","","","","","","",""
"7004","9","html-button-response","8","154775","0.0-8.0-0.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">JBUD</p><p style=""font-size: 50px;font-family:FragmentMono""><p style=""font-size: 50px;color:#808080"">i</p>","","","JBUD","morph_training","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">JBUD</p><p style=""font-size: 50px;font-family:FragmentMono"">J","J","[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JBUD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JBUD"",""word"":""JBUD"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LDEG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LDEG"",""word"":""LDEG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">GQFHX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">GQFHX"",""word"":""GQFHX"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CGYAM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CGYAM"",""word"":""CGYAM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KGLU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KGLU"",""word"":""KGLU"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">IMJRF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">IMJRF"",""word"":""IMJRF"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VSWK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VSWK"",""word"":""VSWK"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WXM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WXM"",""word"":""WXM"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">PZOU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">PZOU"",""word"":""PZOU"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VMIX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VMIX"",""word"":""VMIX"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OLHX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OLHX"",""word"":""OLHX"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">PTP</p><p style=\""font-size: 50px;font-family:FragmentMono\"">PTP"",""word"":""PTP"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WBCH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WBCH"",""word"":""WBCH"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">FHICD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">FHICD"",""word"":""FHICD"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">FZLF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">FZLF"",""word"":""FZLF"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KFVH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KFVH"",""word"":""KFVH"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NKMT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NKMT"",""word"":""NKMT"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DNHQM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DNHQM"",""word"":""DNHQM"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UXVTI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UXVTI"",""word"":""UXVTI"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VCEG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VCEG"",""word"":""VCEG"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DEIQ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DEIQ"",""word"":""DEIQ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DJN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DJN"",""word"":""DJN"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZSPY</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZSPY"",""word"":""ZSPY"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JBNI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JBNI"",""word"":""JBNI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TPABL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TPABL"",""word"":""TPABL"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UNYZC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UNYZC"",""word"":""UNYZC"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">AJDZU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">AJDZU"",""word"":""AJDZU"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">HPWY</p><p style=\""font-size: 50px;font-family:FragmentMono\"">HPWY"",""word"":""HPWY"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WOFH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WOFH"",""word"":""WOFH"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NAPYQ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NAPYQ"",""word"":""NAPYQ"",""length"":205}]","","","","","","","",""
"2462","1","html-button-response","9","157238","0.0-8.0-1.0-0.0","69838401d1cfe5c9b90101d5","698af3c7ed46e59b23a73289","69cf9d4828494222a85d7ed0","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">JBUD</p><p style=""font-size: 50px;font-family:FragmentMono"">J","","","JBUD","morph_training","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">JBUD</p><p style=""font-size: 50px;font-family:FragmentMono"">JB","JB","[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JBUD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JBUD"",""word"":""JBUD"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LDEG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LDEG"",""word"":""LDEG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">GQFHX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">GQFHX"",""word"":""GQFHX"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CGYAM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CGYAM"",""word"":""CGYAM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KGLU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KGLU"",""word"":""KGLU"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">IMJRF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">IMJRF"",""word"":""IMJRF"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VSWK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VSWK"",""word"":""VSWK"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WXM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WXM"",""word"":""WXM"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">PZOU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">PZOU"",""word"":""PZOU"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VMIX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VMIX"",""word"":""VMIX"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OLHX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OLHX"",""word"":""OLHX"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">PTP</p><p style=\""font-size: 50px;font-family:FragmentMono\"">PTP"",""word"":""PTP"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WBCH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WBCH"",""word"":""WBCH"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">FHICD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">FHICD"",""word"":""FHICD"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">FZLF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">FZLF"",""word"":""FZLF"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KFVH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KFVH"",""word"":""KFVH"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NKMT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NKMT"",""word"":""NKMT"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DNHQM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DNHQM"",""word"":""DNHQM"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UXVTI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UXVTI"",""word"":""UXVTI"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VCEG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VCEG"",""word"":""VCEG"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DEIQ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DEIQ"",""word"":""DEIQ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DJN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DJN"",""word"":""DJN"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZSPY</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZSPY"",""word"":""ZSPY"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JBNI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JBNI"",""word"":""JBNI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TPABL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TPABL"",""word"":""TPABL"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UNYZC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UNYZC"",""word"":""UNYZC"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">AJDZU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">AJDZU"",""word"":""AJDZU"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">HPWY</p><p style=\""font-size: 50px;font-family:FragmentMono\"">HPWY"",""word"":""HPWY"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WOFH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WOFH"",""word"":""WOFH"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NAPYQ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NAPYQ"",""word"":""NAPYQ"",""length"":205}]","","","","","","","",""
