"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","word","task","new_stim","input","stimuli","item","correct_response","testing_condition","correct","target","confound","name"
"5755","{""ID"":""6696d81ba57640f9273a1949""}","survey-html-form","0","5757","0.0-0.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","","","","","","","","","","","","","","",""
"48981"," ","html-keyboard-response","1","54739","0.0-1.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","","","","","",""
"6888","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","61628","0.0-2.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","","","","","","","","","","","","","","",""
"30118","{""Languages"":[""English"",""French"",""Spanish""]}","survey-multi-select","3","91796","0.0-3.0-0.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","","[0]","","","","","","","","","","","","",""
"8959","","fullscreen","4","101764","0.0-4.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","","","true","","","","","","","","","","","",""
"19357"," ","html-keyboard-response","5","121121","0.0-5.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","","","","","",""
"null","null","html-keyboard-response","6","121123","0.0-6.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","","","","","",""
"6097"," ","html-keyboard-response","7","127221","0.0-7.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","<p style=""font-size: 30px"">You're a language expert who's been asked to look at some messages that Earth has received from space. From previous communications, we know some pieces of the words these aliens use. In this first part, we'll ask you to spell out 30 word parts, which will help you understand the messages we've received!</p>
      <p style=""font-size: 30px"">Please press the spacebar when you're ready.</p>","","","","","","","","","","","","","",""
"6445","18","html-button-response","8","133668","0.0-8.0-0.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">SMUN</p><p style=""font-size: 50px;font-family:FragmentMono""><p style=""font-size: 50px;color:#808080"">i</p>","","","SMUN","morph_training","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">SMUN</p><p style=""font-size: 50px;font-family:FragmentMono"">S","S","[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">SMUN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">SMUN"",""word"":""SMUN"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZKWO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZKWO"",""word"":""ZKWO"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TGZX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TGZX"",""word"":""TGZX"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CYT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CYT"",""word"":""CYT"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BIPA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BIPA"",""word"":""BIPA"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JZQMJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JZQMJ"",""word"":""JZQMJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JCPA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JCPA"",""word"":""JCPA"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UZO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UZO"",""word"":""UZO"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">RUOSF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">RUOSF"",""word"":""RUOSF"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UCSU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UCSU"",""word"":""UCSU"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MEBM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MEBM"",""word"":""MEBM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KUZ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KUZ"",""word"":""KUZ"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VFCG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VFCG"",""word"":""VFCG"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NLQD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NLQD"",""word"":""NLQD"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LRYW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LRYW"",""word"":""LRYW"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZEPI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZEPI"",""word"":""ZEPI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">FHICD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">FHICD"",""word"":""FHICD"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OQG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OQG"",""word"":""OQG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CTSBI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CTSBI"",""word"":""CTSBI"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KXH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KXH"",""word"":""KXH"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TMZDN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TMZDN"",""word"":""TMZDN"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QAIT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QAIT"",""word"":""QAIT"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UXJC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UXJC"",""word"":""UXJC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">PGF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">PGF"",""word"":""PGF"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">IFHC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">IFHC"",""word"":""IFHC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QGZS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QGZS"",""word"":""QGZS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XFSV</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XFSV"",""word"":""XFSV"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OTJMU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OTJMU"",""word"":""OTJMU"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BWGO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BWGO"",""word"":""BWGO"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UWQEO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UWQEO"",""word"":""UWQEO"",""length"":205}]","","","","","","",""
"819","12","html-button-response","9","134488","0.0-8.0-1.0-0.0","6696d81ba57640f9273a1949","698af3c7ed46e59b23a73289","69cfbf48d17e00e3e191bdd3","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">SMUN</p><p style=""font-size: 50px;font-family:FragmentMono"">S","","","SMUN","morph_training","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">SMUN</p><p style=""font-size: 50px;font-family:FragmentMono"">SM","SM","[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">SMUN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">SMUN"",""word"":""SMUN"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZKWO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZKWO"",""word"":""ZKWO"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TGZX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TGZX"",""word"":""TGZX"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CYT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CYT"",""word"":""CYT"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BIPA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BIPA"",""word"":""BIPA"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JZQMJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JZQMJ"",""word"":""JZQMJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JCPA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JCPA"",""word"":""JCPA"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UZO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UZO"",""word"":""UZO"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">RUOSF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">RUOSF"",""word"":""RUOSF"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UCSU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UCSU"",""word"":""UCSU"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MEBM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MEBM"",""word"":""MEBM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KUZ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KUZ"",""word"":""KUZ"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VFCG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VFCG"",""word"":""VFCG"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NLQD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NLQD"",""word"":""NLQD"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LRYW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LRYW"",""word"":""LRYW"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZEPI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZEPI"",""word"":""ZEPI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">FHICD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">FHICD"",""word"":""FHICD"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OQG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OQG"",""word"":""OQG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CTSBI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CTSBI"",""word"":""CTSBI"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KXH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KXH"",""word"":""KXH"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TMZDN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TMZDN"",""word"":""TMZDN"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QAIT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QAIT"",""word"":""QAIT"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UXJC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UXJC"",""word"":""UXJC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">PGF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">PGF"",""word"":""PGF"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">IFHC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">IFHC"",""word"":""IFHC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QGZS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QGZS"",""word"":""QGZS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XFSV</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XFSV"",""word"":""XFSV"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OTJMU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OTJMU"",""word"":""OTJMU"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">BWGO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">BWGO"",""word"":""BWGO"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UWQEO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UWQEO"",""word"":""UWQEO"",""length"":205}]","","","","","","",""
