"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","word","task","new_stim","input","stimuli","item","correct_response","testing_condition","correct","target","confound","name"
"3896","{""ID"":""6696773b71afe15e1f73abbe""}","survey-html-form","0","3898","0.0-0.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","","","","","","","","","","","","","","",""
"2191"," ","html-keyboard-response","1","6089","0.0-1.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","","","","","",""
"5571","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","11661","0.0-2.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","","","","","","","","","","","","","","",""
"17991","{""Languages"":[""English""]}","survey-multi-select","3","29746","0.0-3.0-0.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","","[0]","","","","","","","","","","","","",""
"10632","","fullscreen","4","41395","0.0-4.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","","","true","","","","","","","","","","","",""
"83581"," ","html-keyboard-response","5","124977","0.0-5.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","","","","","",""
"null","null","html-keyboard-response","6","124991","0.0-6.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","","","","","",""
"37028"," ","html-keyboard-response","7","162020","0.0-7.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","<p style=""font-size: 30px"">You're a language expert who's been asked to look at some messages that Earth has received from space. From previous communications, we know some pieces of the words these aliens use. In this first part, we'll ask you to spell out 30 word parts, which will help you understand the messages we've received!</p>
      <p style=""font-size: 30px"">Please press the spacebar when you're ready.</p>","","","","","","","","","","","","","",""
"7054","10","html-button-response","8","169078","0.0-8.0-0.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">KFOFS</p><p style=""font-size: 50px;font-family:FragmentMono""><p style=""font-size: 50px;color:#808080"">i</p>","","","KFOFS","morph_training","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">KFOFS</p><p style=""font-size: 50px;font-family:FragmentMono"">K","K","[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KFOFS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KFOFS"",""word"":""KFOFS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">HIK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">HIK"",""word"":""HIK"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XVELS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XVELS"",""word"":""XVELS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MVIVI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MVIVI"",""word"":""MVIVI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QAIT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QAIT"",""word"":""QAIT"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JKGD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JKGD"",""word"":""JKGD"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZFGC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZFGC"",""word"":""ZFGC"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QWBSJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QWBSJ"",""word"":""QWBSJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JKL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JKL"",""word"":""JKL"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ECKFX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ECKFX"",""word"":""ECKFX"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">SBRC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">SBRC"",""word"":""SBRC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UABS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UABS"",""word"":""UABS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WKT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WKT"",""word"":""WKT"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VFCG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VFCG"",""word"":""VFCG"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">RKNJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">RKNJ"",""word"":""RKNJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QBTR</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QBTR"",""word"":""QBTR"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OWJB</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OWJB"",""word"":""OWJB"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VPKWH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VPKWH"",""word"":""VPKWH"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">RZSV</p><p style=\""font-size: 50px;font-family:FragmentMono\"">RZSV"",""word"":""RZSV"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DLVZY</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DLVZY"",""word"":""DLVZY"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NZE</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NZE"",""word"":""NZE"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">RJMH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">RJMH"",""word"":""RJMH"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TVJMO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TVJMO"",""word"":""TVJMO"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">FYG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">FYG"",""word"":""FYG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CFDTA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CFDTA"",""word"":""CFDTA"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VPOC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VPOC"",""word"":""VPOC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MSYC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MSYC"",""word"":""MSYC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">IBDLL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">IBDLL"",""word"":""IBDLL"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VSWK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VSWK"",""word"":""VSWK"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UWQEO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UWQEO"",""word"":""UWQEO"",""length"":205}]","","","","","","",""
"2614","5","html-button-response","9","171695","0.0-8.0-1.0-0.0","6696773b71afe15e1f73abbe","698af3c7ed46e59b23a73289","69cfbf442dbc915b3ad4b1ce","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">KFOFS</p><p style=""font-size: 50px;font-family:FragmentMono"">K","","","KFOFS","morph_training","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">KFOFS</p><p style=""font-size: 50px;font-family:FragmentMono"">KF","KF","[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KFOFS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KFOFS"",""word"":""KFOFS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">HIK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">HIK"",""word"":""HIK"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XVELS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XVELS"",""word"":""XVELS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MVIVI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MVIVI"",""word"":""MVIVI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QAIT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QAIT"",""word"":""QAIT"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JKGD</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JKGD"",""word"":""JKGD"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ZFGC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ZFGC"",""word"":""ZFGC"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QWBSJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QWBSJ"",""word"":""QWBSJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JKL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JKL"",""word"":""JKL"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">ECKFX</p><p style=\""font-size: 50px;font-family:FragmentMono\"">ECKFX"",""word"":""ECKFX"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">SBRC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">SBRC"",""word"":""SBRC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UABS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UABS"",""word"":""UABS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">WKT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">WKT"",""word"":""WKT"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VFCG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VFCG"",""word"":""VFCG"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">RKNJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">RKNJ"",""word"":""RKNJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QBTR</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QBTR"",""word"":""QBTR"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OWJB</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OWJB"",""word"":""OWJB"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VPKWH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VPKWH"",""word"":""VPKWH"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">RZSV</p><p style=\""font-size: 50px;font-family:FragmentMono\"">RZSV"",""word"":""RZSV"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DLVZY</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DLVZY"",""word"":""DLVZY"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">NZE</p><p style=\""font-size: 50px;font-family:FragmentMono\"">NZE"",""word"":""NZE"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">RJMH</p><p style=\""font-size: 50px;font-family:FragmentMono\"">RJMH"",""word"":""RJMH"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TVJMO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TVJMO"",""word"":""TVJMO"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">FYG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">FYG"",""word"":""FYG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CFDTA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CFDTA"",""word"":""CFDTA"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VPOC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VPOC"",""word"":""VPOC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MSYC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MSYC"",""word"":""MSYC"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">IBDLL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">IBDLL"",""word"":""IBDLL"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VSWK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VSWK"",""word"":""VSWK"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">UWQEO</p><p style=\""font-size: 50px;font-family:FragmentMono\"">UWQEO"",""word"":""UWQEO"",""length"":205}]","","","","","","",""
