"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","stimulus","question_order","success","word","task","new_stim","input","stimuli","item","correct_response","testing_condition","correct","target","confound","name"
"11047","{""ID"":""698108404d737ae8dbb46561""}","survey-html-form","0","11047","0.0-0.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","","","","","","","","","","","","","","",""
"2229"," ","html-keyboard-response","1","13277","0.0-1.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","<p style=""font-size: 30px;"">Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p>
      <p style=""font-size: 30px;""> We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining how readers process written words. You will be engaged in a session of apprximately 25-30 minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. You will be paid £4 for your participation, corresponding to a rate of £8/hour. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p>
      <p style=""font-size: 30px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003 and to the European Regulation 2016/670 (General Data Protection Regulation - GDPR). The Data Protection Officer is Avv. Valentina Carollo, who can be contacted at the following email addresses: <a href=""mailto:dpo@sissa.it"">dpo@sissa.it</a> or <a href=""mailto:rpd@sissa.it"">rpd@sissa.it</a> - PEC: <a href=""mailto:protocollo@pec.sissa.it"">protocollo@pec.sissa.it</a>.</p>
      <p style=""font-size: 30px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (<a href=""mailto:aliebelt@sissa.it"">aliebelt@sissa.it</a>, <a href=""mailto:davide.crepaldi@sissa.it"">davide.crepaldi@sissa.it</a>). Please feel free to contact the researcher through the Messaging feature on Prolific if you have any questions or issues.</p>
      <p style=""font-size: 30px;"">If you would like to download the informed consent form, you can do so here: <a href=""BASL-Informed_Consent.pdf"" download>informed consent form</a>.</p>
      <p style=""font-size: 30px;"">We ask that you press the spacebar to proceed to the consent section.</p>","","","","","","","","","","","","","",""
"4411","{""consent1"":""YES"",""consent2"":""YES"",""consent3"":""YES"",""consent4"":""YES"",""consent5"":""YES"",""consent6"":""YES""}","survey-html-form","2","17690","0.0-2.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","","","","","","","","","","","","","","",""
"8614","{""Languages"":[""English""]}","survey-multi-select","3","26360","0.0-3.0-0.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","","[0]","","","","","","","","","","","","",""
"4075","","fullscreen","4","31438","0.0-4.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","","","true","","","","","","","","","","","",""
"6282"," ","html-keyboard-response","5","37722","0.0-5.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","<p style=""font-size: 30px"">Welcome, and thank you very much for your time!</p>
      <p style=""font-size: 30px"">In this experiment, you'll be a language expert who's been asked to take a look at words that Earth has received in its first communication with aliens. Your task, in this first part of the experiment, is to pay close attention to the words you'll be shown; later, world leaders will ask you questions on what you saw. The words will be shown to you quite quickly; it seems that the aliens were in a hurry :-)</p>
      <p style=""font-size: 30px"">Press the spacebar to continue.<p>","","","","","","","","","","","","","",""
"null","null","html-keyboard-response","6","37725","0.0-6.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","<p style=""font-size: 1px; font-family: FragmentMono""> x </p>","","","","","","","","","","","","","",""
"1744"," ","html-keyboard-response","7","39470","0.0-7.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","<p style=""font-size: 30px"">You're a language expert who's been asked to look at some messages that Earth has received from space. From previous communications, we know some pieces of the words these aliens use. In this first part, we'll ask you to spell out 30 word parts, which will help you understand the messages we've received!</p>
      <p style=""font-size: 30px"">Please press the spacebar when you're ready.</p>","","","","","","","","","","","","","",""
"6883","3","html-button-response","8","46356","0.0-8.0-0.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">DNYM</p><p style=""font-size: 50px;font-family:FragmentMono""><p style=""font-size: 50px;color:#808080"">i</p>","","","DNYM","morph_training","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">DNYM</p><p style=""font-size: 50px;font-family:FragmentMono"">D","D","[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DNYM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DNYM"",""word"":""DNYM"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OWMF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OWMF"",""word"":""OWMF"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">PMZ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">PMZ"",""word"":""PMZ"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OTJMU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OTJMU"",""word"":""OTJMU"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CZPW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CZPW"",""word"":""CZPW"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KSBZJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KSBZJ"",""word"":""KSBZJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QHJGW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QHJGW"",""word"":""QHJGW"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CEBG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CEBG"",""word"":""CEBG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CYT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CYT"",""word"":""CYT"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">YOWYC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">YOWYC"",""word"":""YOWYC"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VBQJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VBQJ"",""word"":""VBQJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JZUIE</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JZUIE"",""word"":""JZUIE"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">YIDUN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">YIDUN"",""word"":""YIDUN"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LTW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LTW"",""word"":""LTW"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LNYV</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LNYV"",""word"":""LNYV"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VRZA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VRZA"",""word"":""VRZA"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LQXI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LQXI"",""word"":""LQXI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">IDEUB</p><p style=\""font-size: 50px;font-family:FragmentMono\"">IDEUB"",""word"":""IDEUB"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VWNM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VWNM"",""word"":""VWNM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XILS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XILS"",""word"":""XILS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">THW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">THW"",""word"":""THW"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TLCHG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TLCHG"",""word"":""TLCHG"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">AOGK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">AOGK"",""word"":""AOGK"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MEBM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MEBM"",""word"":""MEBM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JPXF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JPXF"",""word"":""JPXF"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JBNI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JBNI"",""word"":""JBNI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VUWYK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VUWYK"",""word"":""VUWYK"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LSF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LSF"",""word"":""LSF"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TSL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TSL"",""word"":""TSL"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OGDSK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OGDSK"",""word"":""OGDSK"",""length"":205}]","","","","","","",""
"2270","13","html-button-response","9","48627","0.0-8.0-1.0-0.0","698108404d737ae8dbb46561","698af3c7ed46e59b23a73289","69cfbf4a5744ea77cc88e921","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">DNYM</p><p style=""font-size: 50px;font-family:FragmentMono"">D","","","DNYM","morph_training","<p style=""font-size: 30px;color:#911857"">Please spell this part (1/30):</p><p style=""font-size: 50px;font-family:FragmentMono;color:#911857"">DNYM</p><p style=""font-size: 50px;font-family:FragmentMono"">DN","DN","[{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (1/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">DNYM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">DNYM"",""word"":""DNYM"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (2/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OWMF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OWMF"",""word"":""OWMF"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (3/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">PMZ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">PMZ"",""word"":""PMZ"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (4/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OTJMU</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OTJMU"",""word"":""OTJMU"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (5/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CZPW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CZPW"",""word"":""CZPW"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (6/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">KSBZJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">KSBZJ"",""word"":""KSBZJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (7/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">QHJGW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">QHJGW"",""word"":""QHJGW"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (8/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CEBG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CEBG"",""word"":""CEBG"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (9/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">CYT</p><p style=\""font-size: 50px;font-family:FragmentMono\"">CYT"",""word"":""CYT"",""length"":202},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (10/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">YOWYC</p><p style=\""font-size: 50px;font-family:FragmentMono\"">YOWYC"",""word"":""YOWYC"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (11/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VBQJ</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VBQJ"",""word"":""VBQJ"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (12/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JZUIE</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JZUIE"",""word"":""JZUIE"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (13/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">YIDUN</p><p style=\""font-size: 50px;font-family:FragmentMono\"">YIDUN"",""word"":""YIDUN"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (14/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LTW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LTW"",""word"":""LTW"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (15/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LNYV</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LNYV"",""word"":""LNYV"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (16/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VRZA</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VRZA"",""word"":""VRZA"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (17/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LQXI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LQXI"",""word"":""LQXI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (18/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">IDEUB</p><p style=\""font-size: 50px;font-family:FragmentMono\"">IDEUB"",""word"":""IDEUB"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (19/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VWNM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VWNM"",""word"":""VWNM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (20/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">XILS</p><p style=\""font-size: 50px;font-family:FragmentMono\"">XILS"",""word"":""XILS"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (21/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">THW</p><p style=\""font-size: 50px;font-family:FragmentMono\"">THW"",""word"":""THW"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (22/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TLCHG</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TLCHG"",""word"":""TLCHG"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (23/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">AOGK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">AOGK"",""word"":""AOGK"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (24/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">MEBM</p><p style=\""font-size: 50px;font-family:FragmentMono\"">MEBM"",""word"":""MEBM"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (25/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JPXF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JPXF"",""word"":""JPXF"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (26/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">JBNI</p><p style=\""font-size: 50px;font-family:FragmentMono\"">JBNI"",""word"":""JBNI"",""length"":204},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (27/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">VUWYK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">VUWYK"",""word"":""VUWYK"",""length"":205},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (28/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">LSF</p><p style=\""font-size: 50px;font-family:FragmentMono\"">LSF"",""word"":""LSF"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (29/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">TSL</p><p style=\""font-size: 50px;font-family:FragmentMono\"">TSL"",""word"":""TSL"",""length"":203},{""stimulus"":""<p style=\""font-size: 30px;color:#911857\"">Please spell this part (30/30):</p><p style=\""font-size: 50px;font-family:FragmentMono;color:#911857\"">OGDSK</p><p style=\""font-size: 50px;font-family:FragmentMono\"">OGDSK"",""word"":""OGDSK"",""length"":205}]","","","","","","",""
