,sbj_ID,Age,Gender,Education,L1,L2,L3,L4,otherLs,task,AoAL1,AoAL2,AoEaseL1,AoEaseL2,yearsEduL1,yearsEduL2,yearsCountryL1,yearsCountryL2,yearsFamilyL1,yearsFamilyL2,yearsWorkL1,yearsWorkL2,PercFriendsL1,PercFriendsL2,PercFamilyL1,PercFamilyL2,PercWorkL1,PercWorkL2,PercSelfL1,PercSelfL2,PercCountL1,PercCountL2,ProfSpeakL1,ProfSpeakL2,ProfUnderstandL1,ProfUnderstandL2,ProfReadL1,ProfReadL2,AttentionL1,AttentionL2,ProfWriteL1,ProfWriteL2,AttSelfL1,AttSelfL2,AttCultureL1,AttCultureL2,AttNativeLevelL1,AttNativeLevelL2,AttMothertongueL1,AttMothertongueL2,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score,AoAL3,AoEaseL3,yearsEduL3,yearsCountryL3,yearsFamilyL3,yearsWorkL3,PercFriendsL3,PercFamilyL3,PercWorkL3,PercSelfL3,PercCountL3,ProfSpeakL3,ProfUnderstandL3,ProfReadL3,AttentionL3,ProfWriteL3,AttSelfL3,AttCultureL3,AttNativeLevelL3,AttMothertongueL3,AoAL4,AoEaseL4,yearsEduL4,yearsCountryL4,yearsFamilyL4,yearsWorkL4,PercFriendsL4,PercFamilyL4,PercWorkL4,PercSelfL4,PercCountL4,ProfSpeakL4,ProfUnderstandL4,ProfReadL4,AttentionL4,ProfWriteL4,AttSelfL4,AttCultureL4,AttNativeLevelL4,AttMothertongueL4
0,5c437f6a4fe4f800016e3d52,24,Man,HighSchool,polish,english,n/a,n/a,no,BLP,20,13.0,20,4.0,13,0.0,20,0.0,20,0.0,0,0.0,10,0,10,0,10,0,8,2,9,1,6,5.0,6,6.0,6,6.0,true,true,6,5.0,6,6.0,6,3.0,6,6.0,6,6.0,42.222,7.718,0.0,0.0,51.230000000000004,3.2700000000000005,0.0,0.0,54.480000000000004,49.94,0.0,0.0,54.480000000000004,47.67,0.0,0.0,202.41200000000003,108.598,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5c840aedbad8fb000106cb44,25,Man,MinusCollege,Spanish,English,German,n/a,No,BLP,20,15.0,20,10.0,20,15.0,20,0.0,20,0.0,20,0.0,10,0,10,0,9,1,10,0,10,0,6,4.0,6,5.0,6,5.0,true,true,6,5.0,6,6.0,6,0.0,6,4.0,6,2.0,54.480000000000004,18.16,0.0,0.0,53.410000000000004,1.09,10.9,0.0,54.480000000000004,43.13,4.54,0.0,54.480000000000004,27.240000000000002,15.89,0.0,216.85000000000002,89.62,31.330000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1.0,1.0,true,0.0,6.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,5d696d1c55742f001af29220,22,Woman,College,English,n/a,n/a,n/a,no,BLP,20,,20,,20,,20,,20,,20,,10,,10,,10,,10,,10,,6,,6,,6,,true,,6,,6,,6,,6,,6,,54.480000000000004,0.0,0.0,0.0,54.50000000000001,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,217.94000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5e248b6f0c0b31718a9d3f31,22,Man,PlusCollege,Polish,English,n/a,n/a,n/a,BLP,20,15.0,20,3.0,18,15.0,20,0.0,20,0.0,0,0.0,10,0,10,0,10,0,7,3,9,1,6,5.0,6,6.0,6,6.0,true,true,6,4.0,6,3.0,5,5.0,6,6.0,6,0.0,44.492000000000004,14.982000000000001,0.0,0.0,50.14,4.36,0.0,0.0,54.480000000000004,47.67,0.0,0.0,52.21,31.78,0.0,0.0,201.32200000000003,98.792,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5e2b03f0005f2a02c5a64f7b,22,Man,MinusCollege,Polish,English,Germany,n/a,no,BLP,20,15.0,20,8.0,17,15.0,20,0.0,20,0.0,20,0.0,8,2,10,0,8,2,9,1,8,1,6,5.0,6,5.0,6,5.0,true,true,6,4.0,6,4.0,6,3.0,6,2.0,6,0.0,53.118,17.252,12.258000000000001,0.0,46.870000000000005,6.540000000000001,11.99,0.0,54.480000000000004,43.13,27.240000000000002,0.0,54.480000000000004,20.43,18.16,0.0,208.94800000000004,87.352,69.648,0.0,12.0,3.0,12.0,0.0,0.0,0.0,0,0,0,0,1,3.0,3.0,4.0,true,2.0,3.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
0,5e9dad3fd8d8010ac6a18620,24,Man,Masters,Portuguese,English,Spanish,n/a,no,BLP,20,14.0,20,5.0,20,20.0,20,1.0,20,0.0,1,1.0,8,2,10,0,3,7,5,4,7,3,6,4.0,6,6.0,6,6.0,true,true,5,5.0,6,4.0,5,4.0,6,6.0,6,5.0,45.854,18.614,7.264,0.0,35.970000000000006,17.44,11.99,0.0,52.21,47.67,6.8100000000000005,0.0,52.21,43.13,2.27,0.0,186.24400000000003,126.85400000000001,28.334,0.0,10.0,2.0,3.0,1.0,0.0,0.0,0,0,0,1,0,1.0,2.0,0.0,true,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,5ebd8f8679146d0a116bc257,23,Man,MinusCollege,portuguese,ukranian,english,n/a,no,BLP,20,20.0,5,0.0,15,0.0,20,2.0,20,20.0,2,0.0,10,0,7,3,10,0,10,0,10,0,6,3.0,6,3.0,6,2.0,true,true,6,0.0,6,3.0,6,4.0,6,6.0,6,3.0,37.228,19.068,14.074,0.0,51.230000000000004,3.2700000000000005,7.630000000000001,0.0,54.480000000000004,18.16,34.05,0.0,54.480000000000004,36.32,31.78,0.0,197.418,76.81800000000001,87.53399999999999,0.0,13.0,10.0,6.0,0.0,0.0,2.0,0,0,0,0,0,3.0,3.0,5.0,true,4.0,2.0,3.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,
0,5ecba4b6ef75d53505406d57,23,Man,College,Polish,English,Italian,n/a,no,BLP,20,13.0,20,8.0,20,16.0,20,0.0,20,0.0,20,5.0,10,0,10,0,8,2,10,0,10,0,6,5.0,6,6.0,6,5.0,true,true,6,5.0,6,5.0,6,3.0,6,5.0,6,5.0,54.480000000000004,19.068,1.362,0.0,52.32000000000001,2.18,10.9,0.0,54.480000000000004,47.67,27.240000000000002,0.0,54.480000000000004,40.86,15.89,0.0,215.76000000000005,109.778,55.392,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0,0,0,0,3.0,3.0,3.0,true,3.0,0.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
0,5ed14691e983f5067842fd20,25,Woman,Masters,Portuguese,English,Spanish,n/a,no,BLP,20,14.0,20,5.0,20,18.0,20,20.0,20,0.0,2,3.0,2,7,10,0,0,10,5,5,10,0,6,6.0,6,6.0,6,6.0,true,true,6,6.0,6,6.0,6,6.0,6,6.0,6,6.0,46.308,27.240000000000002,6.356,0.0,29.430000000000003,23.98,11.99,0.0,54.480000000000004,54.480000000000004,36.32,0.0,54.480000000000004,54.480000000000004,45.4,0.0,184.69800000000004,160.18,100.066,0.0,8.0,0.0,6.0,0.0,0.0,0.0,1,0,0,0,0,3.0,4.0,5.0,true,4.0,2.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,
0,5f21c29511084913913af654,22,Man,HighSchool,Polish,English,---,---,---,BLP,20,13.0,15,5.0,15,14.0,20,0.0,20,0.0,20,0.0,9,1,10,0,9,1,9,1,10,0,5,4.0,6,4.0,6,4.0,true,true,6,4.0,6,4.0,6,3.0,6,6.0,6,3.0,49.940000000000005,14.528,9.988,9.988,51.230000000000004,3.2700000000000005,10.9,0.0,52.21,36.32,0.0,0.0,54.480000000000004,36.32,0.0,0.0,207.86,90.438,20.887999999999998,9.988,19.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,true,0.0,0.0,0.0,0.0,0.0
