,sbj_ID,Age,Gender,Education,L1,L2,L3,L4,otherLs,task,AoAL1,AoAL2,AoAL3,AoAL4,AoEaseL1,AoEaseL2,AoEaseL3,AoEaseL4,yearsEduL1,yearsEduL2,yearsEduL3,yearsEduL4,yearsCountryL1,yearsCountryL2,yearsCountryL3,yearsCountryL4,yearsFamilyL1,yearsFamilyL2,yearsFamilyL3,yearsFamilyL4,yearsWorkL1,yearsWorkL2,yearsWorkL3,yearsWorkL4,PercFriendsL1,PercFriendsL2,PercFriendsL3,PercFriendsL4,PercFamilyL1,PercFamilyL2,PercFamilyL3,PercFamilyL4,PercWorkL1,PercWorkL2,PercWorkL3,PercWorkL4,PercSelfL1,PercSelfL2,PercSelfL3,PercSelfL4,PercCountL1,PercCountL2,PercCountL3,PercCountL4,ProfSpeakL1,ProfSpeakL2,ProfSpeakL3,ProfSpeakL4,ProfUnderstandL1,ProfUnderstandL2,ProfUnderstandL3,ProfUnderstandL4,ProfReadL1,ProfReadL2,ProfReadL3,ProfReadL4,AttentionL1,AttentionL2,AttentionL3,AttentionL4,ProfWriteL1,ProfWriteL2,ProfWriteL3,ProfWriteL4,AttSelfL1,AttSelfL2,AttSelfL3,AttSelfL4,AttCultureL1,AttCultureL2,AttCultureL3,AttCultureL4,AttNativeLevelL1,AttNativeLevelL2,AttNativeLevelL3,AttNativeLevelL4,AttMothertongueL1,AttMothertongueL2,AttMothertongueL3,AttMothertongueL4,HistoryL1Score,HistoryL2Score,HistoryL3Score,HistoryL4Score,UseL1Score,UseL2Score,UseL3Score,UseL4Score,ProficiencyL1Score,ProficiencyL2Score,ProficiencyL3Score,ProficiencyL4Score,AttitudeL1Score,AttitudeL2Score,AttitudeL3Score,AttitudeL4Score,L1Score,L2Score,L3Score,L4Score
0,5ba4da6f03692b00019adae6,24,Man,College,Enlish,n/a,n/a,n/a,n/a,BLP,20,,,,16,,,,9,,,,20,,,,20,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,6,,,,6,,,,6,,,,true,,,,6,,,,6,,,,6,,,,6,,,,6,,,,43.13,0.0,0.0,0.0,54.50000000000001,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,206.59000000000003,0.0,0.0,0.0
0,5ea2e2054687bd0517c23492,25,Man,MinusCollege,Portuguese,English,Spanish,n/a,No,BLP,20,12.0,12.0,,20,6.0,6.0,,12,5.0,3.0,,20,0.0,0.0,,20,0.0,0.0,,3,0.0,0.0,,9,1,0,,10,0,0,,7,3,0,,8,2,0,,8,2,0,,6,5.0,3.0,,6,6.0,5.0,,6,6.0,5.0,,true,true,true,,6,5.0,3.0,,6,4.0,3.0,,6,3.0,4.0,,6,6.0,6.0,,6,6.0,6.0,,43.13,10.442,9.534,0.0,45.78,8.72,10.9,0.0,54.480000000000004,49.94,36.32,0.0,54.480000000000004,43.13,43.13,0.0,197.87,112.232,99.88400000000001,0.0
0,60c0fa09ef735c52ada64d23,24,Woman,College,english,n/a,n/a,n/a,no,BLP,20,,,,20,,,,16,,,,20,,,,20,,,,1,,,,10,,,,10,,,,10,,,,10,,,,10,,,,6,,,,6,,,,6,,,,true,,,,6,,,,6,,,,5,,,,6,,,,6,,,,44.038000000000004,0.0,0.0,0.0,54.50000000000001,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,52.21,0.0,0.0,0.0,205.22800000000004,0.0,0.0,0.0
0,60fa6f5d0c4ef9c26538f610,23,Woman,MinusCollege,Italian,English,n/a,n/a,No,BLP,20,14.0,,,20,10.0,,,13,8.0,,,20,0.0,,,20,0.0,,,20,0.0,,,10,0,,,10,0,,,9,1,,,10,0,,,10,0,,,6,4.0,,,6,4.0,,,6,4.0,,,true,true,,,6,3.0,,,6,4.0,,,5,3.0,,,6,3.0,,,3,2.0,,,51.302,14.528,0.0,0.0,53.410000000000004,1.09,0.0,0.0,54.480000000000004,34.05,0.0,0.0,45.4,27.240000000000002,0.0,0.0,204.592,76.908,0.0,0.0
0,60fa7628023c88195f68529c,24,Woman,PlusCollege,English,N/A,N/A,N/A,N/A,BLP,20,,,,20,,,,20,,,,20,,,,20,,,,3,,,,10,,,,10,,,,10,,,,10,,,,10,,,,6,,,,6,,,,6,,,,true,,,,6,,,,6,,,,6,,,,6,,,,6,,,,46.762,0.0,0.0,0.0,54.50000000000001,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,54.480000000000004,0.0,0.0,0.0,210.22200000000004,0.0,0.0,0.0
0,6124f23ea1f4ef44fe280dd4,25,Woman,HighSchool,Italian,English,n/a,n/a,no,BLP,20,14.0,,,20,7.0,,,14,14.0,,,20,0.0,,,20,0.0,,,20,0.0,,,9,1,,,9,1,,,8,2,,,10,0,,,10,0,,,6,5.0,,,6,6.0,,,6,4.0,,,true,true,,,6,4.0,,,6,6.0,,,6,0.0,,,6,0.0,,,6,0.0,,,51.756,15.89,0.0,0.0,50.14,4.36,0.0,0.0,54.480000000000004,43.13,0.0,0.0,54.480000000000004,13.620000000000001,0.0,0.0,210.856,77.0,0.0,0.0
0,612e6bf6f0eba168c2a1dc35,23,Man,College,Portuguese,English,Spanish,n/a,No,BLP,20,12.0,2.0,,20,8.0,0.0,,12,8.0,0.0,,20,0.0,0.0,,20,20.0,0.0,,4,4.0,4.0,,8,2,0,,9,1,0,,6,3,1,,9,1,0,,9,1,0,,6,6.0,2.0,,6,6.0,4.0,,6,6.0,2.0,,true,true,true,,6,6.0,0.0,,6,6.0,1.0,,6,6.0,2.0,,6,6.0,3.0,,6,6.0,3.0,,43.584,23.608,2.724,0.0,44.690000000000005,8.72,10.9,0.0,54.480000000000004,54.480000000000004,18.16,0.0,54.480000000000004,54.480000000000004,20.43,0.0,197.23400000000004,141.288,52.214,0.0
0,61353c933f32fef782432cc7,23,Man,MinusCollege,Italian,English,French,n/a,n/a,BLP,20,14.0,9.0,,20,7.0,0.0,,13,14.0,9.0,,20,0.0,0.0,,20,0.0,0.0,,20,0.0,0.0,,9,1,0,,10,0,0,,10,0,0,,10,0,0,,10,0,0,,6,5.0,2.0,,6,6.0,3.0,,6,6.0,4.0,,true,true,true,,5,4.0,0.0,,6,0.0,0.0,,6,0.0,0.0,,4,0.0,0.0,,3,0.0,0.0,,51.302,15.89,8.172,0.0,53.410000000000004,1.09,10.9,0.0,52.21,47.67,20.43,0.0,43.13,0.0,0.0,0.0,200.052,64.65,39.502,0.0
0,659c0682d109f8537a89fdd3,24,Man,College,english,cantonese,n/a,n/a,n/a,BLP,17,20.0,,,13,16.0,,,16,2.0,,,20,0.0,,,20,20.0,,,20,0.0,,,10,0,,,5,5,,,10,0,,,10,0,,,10,0,,,6,3.0,,,6,3.0,,,6,0.0,,,true,true,,,6,0.0,,,6,3.0,,,4,4.0,,,5,4.0,,,6,4.0,,,48.124,26.332,0.0,0.0,49.050000000000004,5.45,0.0,0.0,54.480000000000004,13.620000000000001,0.0,0.0,47.67,34.05,0.0,0.0,199.324,79.452,0.0,0.0
0,65b3c533a99b6a6b97a6f54a,22,Man,HighSchool,greek,english,n/a,n/a,no ,BLP,20,11.0,,,13,6.0,,,12,7.0,,,20,0.0,,,20,0.0,,,20,2.0,,,9,1,,,10,0,,,3,7,,,8,2,,,10,0,,,6,5.0,,,6,6.0,,,6,5.0,,,true,true,,,5,4.0,,,6,3.0,,,5,4.0,,,6,5.0,,,6,5.0,,,47.67,11.804,0.0,0.0,43.6,10.9,0.0,0.0,52.21,45.4,0.0,0.0,52.21,38.59,0.0,0.0,195.69000000000003,106.694,0.0,0.0
0,65fad6c874ac75642ffc254b,18-25,Other,PlusCollege,English,Hindi,Urdu,Telugu,n/a,BLP,19,19.0,20.0,19.0,16,20.0,20.0,18.0,20,12.0,5.0,12.0,20,20.0,20.0,20.0,9,18.0,20.0,3.0,20,20.0,20.0,15.0,6,1,2,1,1,3,6,0,8,0,2,0,8,1,1,0,9,0,1,0,6,6.0,6.0,1.0,6,4.0,6.0,5.0,6,4.0,3.0,4.0,true,true,true,true,6,6.0,2.0,5.0,6,3.0,6.0,0.0,4,5.0,6.0,3.0,3,0.0,0.0,4.0,0,0.0,4.0,0.0,47.216,49.486000000000004,47.67,39.498000000000005,34.88,5.45,7.630000000000001,1.09,54.480000000000004,45.4,38.59,34.05,29.51,18.16,36.32,15.89,166.086,118.49600000000001,130.21,90.528
0,65feaaac53eb219f09ad5ea0,25,Man,PlusCollege,English,French,German,n/a,no,BLP,20,12.0,4.0,,20,8.0,0.0,,20,8.0,2.0,,20,5.0,2.0,,20,2.0,0.0,,20,5.0,0.0,,7,2,1,,9,1,0,,6,3,1,,6,2,2,,8,2,0,,6,4.0,2.0,,6,4.0,3.0,,6,5.0,3.0,,true,true,true,,6,5.0,4.0,,6,6.0,5.0,,6,5.0,3.0,,6,5.0,5.0,,6,6.0,6.0,,54.480000000000004,18.16,3.632,0.0,39.24,10.9,14.170000000000002,0.0,54.480000000000004,40.86,27.240000000000002,0.0,54.480000000000004,49.94,43.13,0.0,202.68,119.86,88.172,0.0
0,66019ce5f01f7f69af8016d1,25,Woman,Masters,Portuguese,English,Italian,Spanish,No,BLP,20,10.0,0.0,0.0,20,4.0,0.0,0.0,17,10.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,5.0,0.0,5,5.0,0.0,4.0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,6,4.0,2.0,1.0,6,5.0,3.0,2.0,6,6.0,2.0,2.0,true,true,true,true,6,5.0,1.0,0.0,6,4.0,2.0,1.0,6,3.0,4.0,3.0,6,6.0,6.0,3.0,6,6.0,6.0,4.0,46.308,13.166,2.27,1.816,54.50000000000001,0.0,10.9,0.0,54.480000000000004,45.4,18.16,11.35,54.480000000000004,43.13,40.86,24.97,209.76800000000003,101.696,72.19,38.135999999999996
0,66446d88662725412dc27d06,23,Man,College,Urdu,Punjabi,English,Arabic,N/A,BLP,20,20.0,20.0,17.0,14,13.0,16.0,6.0,12,0.0,12.0,8.0,1,1.0,8.0,16.0,20,20.0,20.0,20.0,20,20.0,20.0,16.0,1,2,7,0,1,9,0,0,0,0,10,0,1,7,2,0,0,1,9,0,6,6.0,6.0,1.0,6,6.0,6.0,2.0,6,6.0,6.0,4.0,true,true,true,true,3,0.0,6.0,1.0,6,6.0,6.0,0.0,6,6.0,0.0,4.0,6,6.0,6.0,0.0,6,6.0,6.0,0.0,39.498000000000005,33.596000000000004,43.584,37.682,3.2700000000000005,20.71,31.610000000000003,0.0,47.67,40.86,54.480000000000004,18.16,54.480000000000004,54.480000000000004,40.86,9.08,144.918,149.64600000000002,170.534,64.922
