,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,5ba4da6f03692b00019adae6,familiarity,1,FBS,GLY,1,1,True,1428.0
0,5ba4da6f03692b00019adae6,familiarity,2,DBM,UYL,1,0,False,1973.0
0,5ba4da6f03692b00019adae6,familiarity,3,GPHZ,BXKJ,0,0,True,1959.0
0,5ba4da6f03692b00019adae6,familiarity,4,OAYA,JOEX,0,0,True,1078.0
0,5ba4da6f03692b00019adae6,familiarity,5,MXCUI,COVWC,0,0,True,1261.0
0,5ba4da6f03692b00019adae6,familiarity,6,EPKS,VWLD,1,1,True,1484.0
0,5ba4da6f03692b00019adae6,familiarity,7,BWXL,CGHN,0,0,True,793.0
0,5ba4da6f03692b00019adae6,familiarity,8,VRZA,BIWI,0,1,False,933.0
0,5ba4da6f03692b00019adae6,familiarity,9,ZIKMO,TLCHG,0,0,True,825.0
0,5ba4da6f03692b00019adae6,familiarity,10,VDIS,UPMC,1,0,False,1019.0
0,5ba4da6f03692b00019adae6,familiarity,11,KZLHI,JNIWK,1,0,False,931.0
0,5ba4da6f03692b00019adae6,familiarity,12,CYMJL,UWQEO,1,1,True,1363.0
0,5ba4da6f03692b00019adae6,familiarity,13,HSTDK,XQXQF,0,0,True,844.0
0,5ba4da6f03692b00019adae6,familiarity,14,HDC,LTW,0,1,False,1185.0
0,5ba4da6f03692b00019adae6,familiarity,15,CPJS,JEGI,1,1,True,1439.0
0,5ba4da6f03692b00019adae6,familiarity,16,NKMT,BLHM,1,1,True,978.0
0,5ba4da6f03692b00019adae6,familiarity,17,KMSK,XGCB,1,1,True,1249.0
0,5ba4da6f03692b00019adae6,familiarity,18,DERNV,CWGEV,1,1,True,1182.0
0,5ba4da6f03692b00019adae6,familiarity,19,RWUK,FWLC,1,0,False,1098.0
0,5ba4da6f03692b00019adae6,familiarity,20,PTP,QRJ,1,1,True,1614.0
0,5ba4da6f03692b00019adae6,familiarity,21,SEWIY,WAEMI,0,0,True,951.0
0,5ba4da6f03692b00019adae6,familiarity,22,ULUJ,BIPA,1,1,True,1039.0
0,5ba4da6f03692b00019adae6,familiarity,23,TPK,ELG,1,0,False,1026.0
0,5ba4da6f03692b00019adae6,familiarity,24,TGNL,KZUO,0,0,True,1176.0
0,5ba4da6f03692b00019adae6,familiarity,25,ZKWO,UWNP,1,1,True,1111.0
0,5ba4da6f03692b00019adae6,familiarity,26,FHICD,FDMJC,1,1,True,621.0
0,5ba4da6f03692b00019adae6,familiarity,27,STCKM,CHASS,0,0,True,574.0
0,5ba4da6f03692b00019adae6,familiarity,28,FQD,PRQ,0,0,True,1002.0
0,5ba4da6f03692b00019adae6,familiarity,29,ODOI,XGNE,1,1,True,901.0
0,5ba4da6f03692b00019adae6,familiarity,30,AKYS,TXBX,0,0,True,810.0
0,5ea2e2054687bd0517c23492,familiarity,1,DJN,TSL,0,0,True,3842.0
0,5ea2e2054687bd0517c23492,familiarity,2,COVWC,KFOFS,1,1,True,2466.0
0,5ea2e2054687bd0517c23492,familiarity,3,TNKDO,UWXVL,0,1,False,2256.0
0,5ea2e2054687bd0517c23492,familiarity,4,EKYAO,JNIWK,0,0,True,2401.0
0,5ea2e2054687bd0517c23492,familiarity,5,XEMO,RKNJ,0,1,False,1735.0
0,5ea2e2054687bd0517c23492,familiarity,6,OSHEZ,JXTJX,0,0,True,2118.0
0,5ea2e2054687bd0517c23492,familiarity,7,YWQLA,YKJSI,1,1,True,2072.0
0,5ea2e2054687bd0517c23492,familiarity,8,FHICD,IBDLL,1,1,True,1473.0
0,5ea2e2054687bd0517c23492,familiarity,9,FEKL,IOVF,0,0,True,2136.0
0,5ea2e2054687bd0517c23492,familiarity,10,ZKGBF,VPKWH,0,1,False,2591.0
0,5ea2e2054687bd0517c23492,familiarity,11,IDKYX,AQOZO,1,1,True,1392.0
0,5ea2e2054687bd0517c23492,familiarity,12,CQPCO,OEJAX,0,0,True,1221.0
0,5ea2e2054687bd0517c23492,familiarity,13,EYOG,TGPV,0,0,True,1557.0
0,5ea2e2054687bd0517c23492,familiarity,14,VDIS,QWFU,1,1,True,1996.0
0,5ea2e2054687bd0517c23492,familiarity,15,AFN,UZO,1,1,True,2236.0
0,5ea2e2054687bd0517c23492,familiarity,16,XUDJM,THVXZ,1,0,False,3395.0
0,5ea2e2054687bd0517c23492,familiarity,17,QXUT,OZDZ,0,0,True,1646.0
0,5ea2e2054687bd0517c23492,familiarity,18,FYG,DFM,1,1,True,1232.0
0,5ea2e2054687bd0517c23492,familiarity,19,DNHQM,LUCWD,1,1,True,3267.0
0,5ea2e2054687bd0517c23492,familiarity,20,FICD,KYNY,0,0,True,1848.0
0,5ea2e2054687bd0517c23492,familiarity,21,LOVB,YNQY,1,1,True,1515.0
0,5ea2e2054687bd0517c23492,familiarity,22,BZE,JNO,0,0,True,1516.0
0,5ea2e2054687bd0517c23492,familiarity,23,WXM,YFJ,0,1,False,1185.0
0,5ea2e2054687bd0517c23492,familiarity,24,SHSP,QFTP,1,0,False,1141.0
0,5ea2e2054687bd0517c23492,familiarity,25,BWRLY,UWQEO,0,0,True,2364.0
