,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,58f50400f4ce600001016db5,familiarity,1,lcOc,dmkv,0,0,True,2214.0
0,58f50400f4ce600001016db5,familiarity,2,kbu,BCD,1,0,False,1947.0
0,58f50400f4ce600001016db5,familiarity,3,khMD,LUOk,0,1,False,1385.0
0,58f50400f4ce600001016db5,familiarity,4,QcQAJ,tDPRk,1,1,True,997.0
0,58f50400f4ce600001016db5,familiarity,5,tmAK,blMk,0,0,True,1394.0
0,58f50400f4ce600001016db5,familiarity,6,dKRD,GZJY,1,0,False,2167.0
0,58f50400f4ce600001016db5,familiarity,7,AlNU,LYGA,0,1,False,2024.0
0,58f50400f4ce600001016db5,familiarity,8,Amacl,DcPTc,1,0,False,1827.0
0,58f50400f4ce600001016db5,familiarity,9,OAmAd,YJLcA,0,1,False,1790.0
0,58f50400f4ce600001016db5,familiarity,10,KABA,CmYA,0,1,False,1449.0
0,58f50400f4ce600001016db5,familiarity,11,vmuLl,NbacA,0,1,False,1644.0
0,58f50400f4ce600001016db5,familiarity,12,YcM,lvk,0,0,True,1751.0
0,58f50400f4ce600001016db5,familiarity,13,vclY,hRKm,1,1,True,1576.0
0,58f50400f4ce600001016db5,familiarity,14,UaZma,NvuGr,0,1,False,990.0
0,58f50400f4ce600001016db5,familiarity,15,YQbc,UaYL,0,1,False,909.0
0,58f50400f4ce600001016db5,familiarity,16,EPBT,RdCc,1,0,False,887.0
0,58f50400f4ce600001016db5,familiarity,17,rdLJa,kMbTR,0,0,True,823.0
0,58f50400f4ce600001016db5,familiarity,18,dTmED,UAcdu,1,0,False,992.0
0,58f50400f4ce600001016db5,familiarity,19,cDOEB,cBROB,1,1,True,1506.0
0,58f50400f4ce600001016db5,familiarity,20,LkNc,uvaU,1,1,True,1776.0
0,58f50400f4ce600001016db5,familiarity,21,QGb,UbG,1,1,True,990.0
0,58f50400f4ce600001016db5,familiarity,22,tcB,bRC,0,0,True,961.0
0,58f50400f4ce600001016db5,familiarity,23,kDRKc,RYtkc,1,1,True,1123.0
0,58f50400f4ce600001016db5,familiarity,24,KDPA,tRPD,1,0,False,864.0
0,58f50400f4ce600001016db5,familiarity,25,BEPO,hTDd,1,0,False,1267.0
0,58f50400f4ce600001016db5,familiarity,26,CYPc,rvAJ,1,0,False,2176.0
0,58f50400f4ce600001016db5,familiarity,27,Avdk,mdkK,1,0,False,1450.0
0,58f50400f4ce600001016db5,familiarity,28,rULv,krUQ,0,1,False,1082.0
0,58f50400f4ce600001016db5,familiarity,29,RCdc,NYZu,0,0,True,1127.0
0,58f50400f4ce600001016db5,familiarity,30,YOZN,QONk,1,0,False,1164.0
0,59aaf4b1321f870001d16f6c,familiarity,1,bmbN,aUZA,1,1,True,2067.0
0,59aaf4b1321f870001d16f6c,familiarity,2,htmhC,lbBDE,0,0,True,1306.0
0,59aaf4b1321f870001d16f6c,familiarity,3,kPOt,PYkC,0,1,False,1336.0
0,59aaf4b1321f870001d16f6c,familiarity,4,ZYcQU,ZdNmU,1,1,True,1990.0
0,59aaf4b1321f870001d16f6c,familiarity,5,bGuO,RKYk,0,0,True,1367.0
0,59aaf4b1321f870001d16f6c,familiarity,6,cDR,JZr,0,1,False,1559.0
0,59aaf4b1321f870001d16f6c,familiarity,7,OdOP,YbBT,1,0,False,1205.0
0,59aaf4b1321f870001d16f6c,familiarity,8,AdDb,YZUZ,1,0,False,855.0
0,59aaf4b1321f870001d16f6c,familiarity,9,ZAUu,YJkb,0,1,False,568.0
0,59aaf4b1321f870001d16f6c,familiarity,10,kJdr,Udbd,0,0,True,353.0
0,59aaf4b1321f870001d16f6c,familiarity,11,LQur,UaYL,1,0,False,350.0
0,59aaf4b1321f870001d16f6c,familiarity,12,crdY,vAvb,0,0,True,167.0
0,59aaf4b1321f870001d16f6c,familiarity,13,PEkhA,BOCRM,0,1,False,244.0
0,59aaf4b1321f870001d16f6c,familiarity,14,MhKd,AdYl,0,1,False,370.0
0,59aaf4b1321f870001d16f6c,familiarity,15,LAclA,PDPhl,0,0,True,314.0
0,59aaf4b1321f870001d16f6c,familiarity,16,Ctmb,RCcE,1,1,True,264.0
0,59aaf4b1321f870001d16f6c,familiarity,17,tKDmh,AlQaQ,1,0,False,92.0
0,59aaf4b1321f870001d16f6c,familiarity,18,JdOAY,ZJLmr,1,1,True,122.0
